DATE,DATE,CLOSE
2016-11-01,2016-11-01,68.42
2016-11-02,2016-11-02,68.46
2016-11-03,2016-11-03,68.94
2016-11-04,2016-11-04,68.69
2016-11-07,2016-11-07,70.46
2016-11-08,2016-11-08,70.49
2016-11-09,2016-11-09,71.45
2016-11-10,2016-11-10,72.8
2016-11-11,2016-11-11,73.58
2016-11-14,2016-11-14,73.51
2016-11-15,2016-11-15,74.08
2016-11-16,2016-11-16,74.18
2016-11-17,2016-11-17,74.01
2016-11-18,2016-11-18,74.4
2016-11-21,2016-11-21,74.37
2016-11-22,2016-11-22,73.94
2016-11-23,2016-11-23,74.12
2016-11-25,2016-11-25,74.3
2016-11-28,2016-11-28,74.21
2016-11-29,2016-11-29,74.98
2016-11-30,2016-11-30,74.85
2016-12-01,2016-12-01,74.86
2016-12-02,2016-12-02,74.04
2016-12-05,2016-12-05,75.39
2016-12-06,2016-12-06,75.56
2016-12-07,2016-12-07,76.72
2016-12-08,2016-12-08,77.47
2016-12-09,2016-12-09,77.04
2016-12-12,2016-12-12,77.25
2016-12-13,2016-12-13,77.06
2016-12-14,2016-12-14,76.62
2016-12-15,2016-12-15,74.31
2016-12-16,2016-12-16,73.11
2016-12-19,2016-12-19,74.62
2016-12-20,2016-12-20,74.53
2016-12-21,2016-12-21,74.63
2016-12-22,2016-12-22,74.47
2016-12-23,2016-12-23,74.54
2016-12-27,2016-12-27,74.48
2016-12-28,2016-12-28,73.47
2016-12-29,2016-12-29,73.73
2016-12-30,2016-12-30,73.26
2017-01-03,2017-01-03,72.85
2017-01-04,2017-01-04,72.99
2017-01-05,2017-01-05,73.74
2017-01-06,2017-01-06,74.15
2017-01-09,2017-01-09,73.16
2017-01-10,2017-01-10,73.14
2017-01-11,2017-01-11,73.44
2017-01-12,2017-01-12,73.44
2017-01-13,2017-01-13,73.38
2017-01-17,2017-01-17,73.56
2017-01-18,2017-01-18,74.05
2017-01-19,2017-01-19,73.37
2017-01-20,2017-01-20,73.6
2017-01-23,2017-01-23,73.68
2017-01-24,2017-01-24,74.66
2017-01-25,2017-01-25,74.68
2017-01-26,2017-01-26,75.75
2017-01-27,2017-01-27,77.58
2017-01-30,2017-01-30,76.51
2017-01-31,2017-01-31,76.06
2017-02-01,2017-02-01,75.11
2017-02-02,2017-02-02,74.94
2017-02-03,2017-02-03,75.55
2017-02-06,2017-02-06,74.83
2017-02-07,2017-02-07,75.62
2017-02-08,2017-02-08,76.13
2017-02-09,2017-02-09,75.62
2017-02-10,2017-02-10,76.56
2017-02-13,2017-02-13,76.98
2017-02-14,2017-02-14,77.2
2017-02-15,2017-02-15,77.88
2017-02-16,2017-02-16,78.06
2017-02-17,2017-02-17,79.06
2017-02-21,2017-02-21,79.42
2017-02-22,2017-02-22,79.41
2017-02-23,2017-02-23,79.46
2017-02-24,2017-02-24,80.13
2017-02-27,2017-02-27,80.23
2017-02-28,2017-02-28,80.37
2017-03-01,2017-03-01,80.86
2017-03-02,2017-03-02,80.53
2017-03-03,2017-03-03,79.77
2017-03-06,2017-03-06,79.28
2017-03-07,2017-03-07,78.94
2017-03-08,2017-03-08,78.73
2017-03-09,2017-03-09,78.52
2017-03-10,2017-03-10,79.34
2017-03-13,2017-03-13,79.31
2017-03-14,2017-03-14,78.56
2017-03-15,2017-03-15,78.54
2017-03-16,2017-03-16,78.21
2017-03-17,2017-03-17,78.92
2017-03-20,2017-03-20,78.93
2017-03-21,2017-03-21,78.36
2017-03-22,2017-03-22,78.09
2017-03-23,2017-03-23,77.68
2017-03-24,2017-03-24,77.47
2017-03-27,2017-03-27,77.02
2017-03-28,2017-03-28,77.52
2017-03-29,2017-03-29,77.29
2017-03-30,2017-03-30,77.65
2017-03-31,2017-03-31,77.29
