DATE,DATE,CLOSE
2016-11-01,2016-11-01,104.36
2016-11-02,2016-11-02,102.57
2016-11-03,2016-11-03,102.99
2016-11-04,2016-11-04,103.06
2016-11-07,2016-11-07,104.81
2016-11-08,2016-11-08,105.63
2016-11-09,2016-11-09,107.49
2016-11-10,2016-11-10,107.98
2016-11-11,2016-11-11,108.72
2016-11-14,2016-11-14,109.04
2016-11-15,2016-11-15,109.14
2016-11-16,2016-11-16,108.99
2016-11-17,2016-11-17,110.4
2016-11-18,2016-11-18,111.71
2016-11-21,2016-11-21,112.79
2016-11-22,2016-11-22,114.84
2016-11-23,2016-11-23,115.32
2016-11-25,2016-11-25,116.49
2016-11-28,2016-11-28,116.13
2016-11-29,2016-11-29,115.58
2016-11-30,2016-11-30,114.6
2016-12-01,2016-12-01,115.89
2016-12-02,2016-12-02,116.65
2016-12-05,2016-12-05,118.05
2016-12-06,2016-12-06,118.4
2016-12-07,2016-12-07,120.37
2016-12-08,2016-12-08,120.55
2016-12-09,2016-12-09,120.71
2016-12-12,2016-12-12,120.38
2016-12-13,2016-12-13,120.55
2016-12-14,2016-12-14,119.53
2016-12-15,2016-12-15,120.01
2016-12-16,2016-12-16,119.69
2016-12-19,2016-12-19,120.15
2016-12-20,2016-12-20,119.78
2016-12-21,2016-12-21,119.51
2016-12-22,2016-12-22,120.09
2016-12-23,2016-12-23,116.36
2016-12-27,2016-12-27,116.55
2016-12-28,2016-12-28,115.6
2016-12-29,2016-12-29,116.32
2016-12-30,2016-12-30,115.56
2017-01-03,2017-01-03,116.32
2017-01-04,2017-01-04,117.31
2017-01-05,2017-01-05,116.28
2017-01-06,2017-01-06,116.7
2017-01-09,2017-01-09,115.48
2017-01-10,2017-01-10,114.78
2017-01-11,2017-01-11,115.32
2017-01-12,2017-01-12,114.4
2017-01-13,2017-01-13,114.56
2017-01-17,2017-01-17,113.67
2017-01-18,2017-01-18,113.97
2017-01-19,2017-01-19,113.74
2017-01-20,2017-01-20,113.88
2017-01-23,2017-01-23,113.84
2017-01-24,2017-01-24,115.51
2017-01-25,2017-01-25,116.75
2017-01-26,2017-01-26,117.39
2017-01-27,2017-01-27,117.29
2017-01-30,2017-01-30,116.2
2017-01-31,2017-01-31,116.11
2017-02-01,2017-02-01,114.85
2017-02-02,2017-02-02,115.22
2017-02-03,2017-02-03,116.11
2017-02-06,2017-02-06,114.96
2017-02-07,2017-02-07,114.79
2017-02-08,2017-02-08,114.35
2017-02-09,2017-02-09,115.36
2017-02-10,2017-02-10,116.72
2017-02-13,2017-02-13,116.99
2017-02-14,2017-02-14,117.02
2017-02-15,2017-02-15,118.41
2017-02-16,2017-02-16,119.51
2017-02-17,2017-02-17,118.61
2017-02-21,2017-02-21,118.44
2017-02-22,2017-02-22,118.8
2017-02-23,2017-02-23,118.43
2017-02-24,2017-02-24,119.07
2017-02-27,2017-02-27,119.11
2017-02-28,2017-02-28,118.01
2017-03-01,2017-03-01,119.63
2017-03-02,2017-03-02,118.54
2017-03-03,2017-03-03,118.41
2017-03-06,2017-03-06,118.61
2017-03-07,2017-03-07,118.27
2017-03-08,2017-03-08,118.36
2017-03-09,2017-03-09,117.87
2017-03-10,2017-03-10,119.03
2017-03-13,2017-03-13,119.13
2017-03-14,2017-03-14,118.45
2017-03-15,2017-03-15,119.46
2017-03-16,2017-03-16,119.24
2017-03-17,2017-03-17,124.87
2017-03-20,2017-03-20,124.31
2017-03-21,2017-03-21,123.78
2017-03-22,2017-03-22,124.37
2017-03-23,2017-03-23,125.95
2017-03-24,2017-03-24,125.13
2017-03-27,2017-03-27,125.12
2017-03-28,2017-03-28,126.2
2017-03-29,2017-03-29,126.44
2017-03-30,2017-03-30,126.98
2017-03-31,2017-03-31,126.54
2017-04-03,2017-04-03,124.75
2017-04-04,2017-04-04,124.84
2017-04-05,2017-04-05,123.77
2017-04-06,2017-04-06,123.21
2017-04-07,2017-04-07,122.56
2017-04-10,2017-04-10,122.66
2017-04-11,2017-04-11,122.96
2017-04-12,2017-04-12,122.38
2017-04-13,2017-04-13,121.68
2017-04-17,2017-04-17,122.98
2017-04-18,2017-04-18,122.37
2017-04-19,2017-04-19,122.65
2017-04-20,2017-04-20,123.1
2017-04-21,2017-04-21,123.14
2017-04-24,2017-04-24,125.45
2017-04-25,2017-04-25,125.11
2017-04-26,2017-04-26,124.23
2017-04-27,2017-04-27,123.94
2017-04-28,2017-04-28,122.47
2017-05-01,2017-05-01,121.58
2017-05-02,2017-05-02,121.81
2017-05-03,2017-05-03,120.88
2017-05-04,2017-05-04,121.94
2017-05-05,2017-05-05,122.99
2017-05-08,2017-05-08,120.91
2017-05-09,2017-05-09,121.5
2017-05-10,2017-05-10,121.44
2017-05-11,2017-05-11,122.54
2017-05-12,2017-05-12,122.3
2017-05-15,2017-05-15,122.37
2017-05-16,2017-05-16,122.57
2017-05-17,2017-05-17,120.17
2017-05-18,2017-05-18,120.58
2017-05-19,2017-05-19,121.02
2017-05-22,2017-05-22,121.74
2017-05-23,2017-05-23,122.39
2017-05-24,2017-05-24,124.69
2017-05-25,2017-05-25,125.55
2017-05-26,2017-05-26,125.16
2017-05-30,2017-05-30,124.75
2017-05-31,2017-05-31,125.88
2017-06-01,2017-06-01,126.93
2017-06-02,2017-06-02,128.28
2017-06-05,2017-06-05,126.61
2017-06-06,2017-06-06,124.63
2017-06-07,2017-06-07,124.49
2017-06-08,2017-06-08,123.67
2017-06-09,2017-06-09,123.7
2017-06-12,2017-06-12,126.3
2017-06-13,2017-06-13,127.25
2017-06-14,2017-06-14,127.96
2017-06-15,2017-06-15,127.79
2017-06-16,2017-06-16,130.45
2017-06-19,2017-06-19,131.35
2017-06-20,2017-06-20,130.07
2017-06-21,2017-06-21,129.61
2017-06-22,2017-06-22,129.16
2017-06-23,2017-06-23,129.41
2017-06-26,2017-06-26,129.5
2017-06-27,2017-06-27,125.82
2017-06-28,2017-06-28,126.76
2017-06-29,2017-06-29,124.35
2017-06-30,2017-06-30,126.04
2017-07-03,2017-07-03,125.99
2017-07-05,2017-07-05,126.12
2017-07-06,2017-07-06,123.73
2017-07-07,2017-07-07,126.13
2017-07-10,2017-07-10,126.54
2017-07-11,2017-07-11,125.83
2017-07-12,2017-07-12,127.16
