DATE,DATE,CLOSE
2016-11-01,2016-11-01,28.9
2016-11-02,2016-11-02,28.59
2016-11-03,2016-11-03,28.27
2016-11-04,2016-11-04,28.22
2016-11-07,2016-11-07,29.33
2016-11-08,2016-11-08,29.51
2016-11-09,2016-11-09,29.13
2016-11-10,2016-11-10,28.18
2016-11-11,2016-11-11,28.82
2016-11-14,2016-11-14,28.99
2016-11-15,2016-11-15,29.61
2016-11-16,2016-11-16,30.02
2016-11-17,2016-11-17,30.73
2016-11-18,2016-11-18,30.74
2016-11-21,2016-11-21,31.35
2016-11-22,2016-11-22,31.67
2016-11-23,2016-11-23,31.88
2016-11-25,2016-11-25,31.88
2016-11-28,2016-11-28,31.84
2016-11-29,2016-11-29,32.16
2016-11-30,2016-11-30,32.2
2016-12-01,2016-12-01,30.1
2016-12-02,2016-12-02,31.44
2016-12-05,2016-12-05,31.53
2016-12-06,2016-12-06,31.61
2016-12-07,2016-12-07,32.51
2016-12-08,2016-12-08,32.71
2016-12-09,2016-12-09,32.35
2016-12-12,2016-12-12,32.0
2016-12-13,2016-12-13,32.03
2016-12-14,2016-12-14,32.14
2016-12-15,2016-12-15,33.06
2016-12-16,2016-12-16,32.51
2016-12-19,2016-12-19,32.44
2016-12-20,2016-12-20,32.61
2016-12-21,2016-12-21,32.58
2016-12-22,2016-12-22,33.01
2016-12-23,2016-12-23,32.9
2016-12-27,2016-12-27,33.33
2016-12-28,2016-12-28,32.9
2016-12-29,2016-12-29,32.66
2016-12-30,2016-12-30,32.27
2017-01-03,2017-01-03,31.94
2017-01-04,2017-01-04,32.24
2017-01-05,2017-01-05,32.1
2017-01-06,2017-01-06,32.04
2017-01-09,2017-01-09,32.78
2017-01-10,2017-01-10,33.13
2017-01-11,2017-01-11,33.47
2017-01-12,2017-01-12,33.31
2017-01-13,2017-01-13,33.79
2017-01-17,2017-01-17,33.3
2017-01-18,2017-01-18,33.69
2017-01-19,2017-01-19,33.75
2017-01-20,2017-01-20,33.84
2017-01-23,2017-01-23,33.75
2017-01-24,2017-01-24,34.03
2017-01-25,2017-01-25,34.42
2017-01-26,2017-01-26,33.98
2017-01-27,2017-01-27,35.04
2017-01-30,2017-01-30,34.34
2017-01-31,2017-01-31,34.25
2017-02-01,2017-02-01,35.03
2017-02-02,2017-02-02,34.94
2017-02-03,2017-02-03,35.31
2017-02-06,2017-02-06,35.18
2017-02-07,2017-02-07,35.54
2017-02-08,2017-02-08,35.6
2017-02-09,2017-02-09,35.41
2017-02-10,2017-02-10,35.32
2017-02-13,2017-02-13,35.46
2017-02-14,2017-02-14,35.23
2017-02-15,2017-02-15,35.49
2017-02-16,2017-02-16,35.18
2017-02-17,2017-02-17,35.67
2017-02-21,2017-02-21,36.58
