DATE,DATE,CLOSE
2016-11-01,2016-11-01,42.34
2016-11-02,2016-11-02,41.0
2016-11-03,2016-11-03,41.18
2016-11-04,2016-11-04,41.23
2016-11-07,2016-11-07,42.6
2016-11-08,2016-11-08,41.82
2016-11-09,2016-11-09,43.57
2016-11-10,2016-11-10,43.82
2016-11-11,2016-11-11,43.96
2016-11-14,2016-11-14,43.59
2016-11-15,2016-11-15,43.83
2016-11-16,2016-11-16,43.49
2016-11-17,2016-11-17,43.36
2016-11-18,2016-11-18,43.31
2016-11-21,2016-11-21,47.17
2016-11-22,2016-11-22,47.87
2016-11-23,2016-11-23,47.71
2016-11-25,2016-11-25,48.2
2016-11-28,2016-11-28,47.05
2016-11-29,2016-11-29,45.98
2016-11-30,2016-11-30,47.02
2016-12-01,2016-12-01,47.74
2016-12-02,2016-12-02,47.8
2016-12-05,2016-12-05,48.01
2016-12-06,2016-12-06,47.23
2016-12-07,2016-12-07,49.65
2016-12-08,2016-12-08,50.06
2016-12-09,2016-12-09,49.44
2016-12-12,2016-12-12,49.09
2016-12-13,2016-12-13,49.24
2016-12-14,2016-12-14,48.42
2016-12-15,2016-12-15,48.88
2016-12-16,2016-12-16,50.11
2016-12-19,2016-12-19,49.44
2016-12-20,2016-12-20,49.38
2016-12-21,2016-12-21,48.99
2016-12-22,2016-12-22,50.34
2016-12-23,2016-12-23,50.78
2016-12-27,2016-12-27,51.12
2016-12-28,2016-12-28,50.33
2016-12-29,2016-12-29,50.45
2016-12-30,2016-12-30,50.35
2017-01-03,2017-01-03,52.93
2017-01-04,2017-01-04,51.24
2017-01-05,2017-01-05,51.05
2017-01-06,2017-01-06,50.37
2017-01-09,2017-01-09,49.46
2017-01-10,2017-01-10,48.97
2017-01-11,2017-01-11,49.66
2017-01-12,2017-01-12,49.25
2017-01-13,2017-01-13,48.38
2017-01-17,2017-01-17,48.73
2017-01-18,2017-01-18,48.9
2017-01-19,2017-01-19,48.37
2017-01-20,2017-01-20,48.76
2017-01-23,2017-01-23,48.72
2017-01-24,2017-01-24,50.09
2017-01-25,2017-01-25,49.67
2017-01-26,2017-01-26,49.44
2017-01-27,2017-01-27,49.08
2017-01-30,2017-01-30,48.36
2017-01-31,2017-01-31,48.05
2017-02-01,2017-02-01,47.71
2017-02-02,2017-02-02,47.9
2017-02-03,2017-02-03,48.16
2017-02-06,2017-02-06,48.37
2017-02-07,2017-02-07,47.93
2017-02-08,2017-02-08,49.12
2017-02-09,2017-02-09,49.93
2017-02-10,2017-02-10,50.14
2017-02-13,2017-02-13,50.28
2017-02-14,2017-02-14,50.96
2017-02-15,2017-02-15,50.64
2017-02-16,2017-02-16,49.96
2017-02-17,2017-02-17,50.02
2017-02-21,2017-02-21,50.38
2017-02-22,2017-02-22,49.81
2017-02-23,2017-02-23,50.35
2017-02-24,2017-02-24,50.03
