DATE,DATE,CLOSE
2016-11-01,2016-11-01,12.831281
2016-11-02,2016-11-02,12.796413
2016-11-03,2016-11-03,12.668566
2016-11-04,2016-11-04,12.808036
2016-11-07,2016-11-07,13.429842
2016-11-08,2016-11-08,13.505388
2016-11-09,2016-11-09,13.499577
2016-11-10,2016-11-10,13.406597
2016-11-11,2016-11-11,13.546067
2016-11-14,2016-11-14,13.569312
2016-11-15,2016-11-15,13.60418
2016-11-16,2016-11-16,13.673915
2016-11-17,2016-11-17,13.714594
2016-11-18,2016-11-18,13.546067
2016-11-21,2016-11-21,13.435653
2016-11-22,2016-11-22,13.290371
2016-11-23,2016-11-23,13.685538
2016-11-25,2016-11-25,13.493766
2016-11-28,2016-11-28,13.563501
2016-11-29,2016-11-29,13.795952
2016-11-30,2016-11-30,13.830819
2016-12-01,2016-12-01,13.580935
2016-12-02,2016-12-02,13.859876
2016-12-05,2016-12-05,14.069081
2016-12-06,2016-12-06,13.9238
2016-12-07,2016-12-07,14.342211
2016-12-08,2016-12-08,14.318966
2016-12-09,2016-12-09,14.243419
2016-12-12,2016-12-12,13.888932
2016-12-13,2016-12-13,13.906366
2016-12-14,2016-12-14,13.900554
2016-12-15,2016-12-15,13.79014
2016-12-16,2016-12-16,13.65067
2016-12-19,2016-12-19,13.79014
2016-12-20,2016-12-20,13.854064
2016-12-21,2016-12-21,13.883121
2016-12-22,2016-12-22,13.807574
2016-12-23,2016-12-23,13.842442
2016-12-27,2016-12-27,13.795952
2016-12-28,2016-12-28,13.540256
2016-12-29,2016-12-29,13.563501
2016-12-30,2016-12-30,13.447276
2017-01-03,2017-01-03,13.482143
2017-01-04,2017-01-04,13.627425
2017-01-05,2017-01-05,13.691349
2017-01-06,2017-01-06,13.42403
2017-01-09,2017-01-09,13.110222
2017-01-10,2017-01-10,13.336861
2017-01-11,2017-01-11,13.226447
2017-01-12,2017-01-12,13.220636
2017-01-13,2017-01-13,13.33105
2017-01-17,2017-01-17,13.185768
2017-01-18,2017-01-18,13.28456
2017-01-19,2017-01-19,13.232259
2017-01-20,2017-01-20,13.296183
2017-01-23,2017-01-23,13.116033
2017-01-24,2017-01-24,13.301994
2017-01-25,2017-01-25,13.354295
2017-01-26,2017-01-26,13.14509
2017-01-27,2017-01-27,13.104411
2017-01-30,2017-01-30,12.87196
2017-01-31,2017-01-31,13.179957
2017-02-01,2017-02-01,13.127656
2017-02-02,2017-02-02,13.185768
2017-02-03,2017-02-03,13.656481
2017-02-06,2017-02-06,13.679726
2017-02-07,2017-02-07,13.766895
2017-02-08,2017-02-08,13.732028
2017-02-09,2017-02-09,13.993535
2017-02-10,2017-02-10,13.941233
2017-02-13,2017-02-13,14.01678
2017-02-14,2017-02-14,14.028402
2017-02-15,2017-02-15,14.167873
2017-02-16,2017-02-16,14.138816
2017-02-17,2017-02-17,14.179495
2017-02-21,2017-02-21,14.330588
2017-02-22,2017-02-22,14.400324
2017-02-23,2017-02-23,14.330588
2017-02-24,2017-02-24,13.342673
2017-02-27,2017-02-27,12.96494
2017-02-28,2017-02-28,13.261315
2017-03-01,2017-03-01,13.470521
2017-03-02,2017-03-02,13.336861
2017-03-03,2017-03-03,13.394974
2017-03-06,2017-03-06,13.406597
2017-03-07,2017-03-07,13.261315
2017-03-08,2017-03-08,13.14509
