DATE,DATE,CLOSE
2016-11-01,2016-11-01,178.06
2016-11-02,2016-11-02,176.58
2016-11-03,2016-11-03,176.21
2016-11-04,2016-11-04,175.92
2016-11-07,2016-11-07,181.48
2016-11-08,2016-11-08,181.92
2016-11-09,2016-11-09,192.63
2016-11-10,2016-11-10,200.87
2016-11-11,2016-11-11,203.94
2016-11-14,2016-11-14,209.18
2016-11-15,2016-11-15,211.19
2016-11-16,2016-11-16,206.26
2016-11-17,2016-11-17,209.63
2016-11-18,2016-11-18,210.35
2016-11-21,2016-11-21,211.08
2016-11-22,2016-11-22,211.11
2016-11-23,2016-11-23,212.31
2016-11-25,2016-11-25,211.38
2016-11-28,2016-11-28,210.35
2016-11-29,2016-11-29,211.75
2016-11-30,2016-11-30,219.29
2016-12-01,2016-12-01,226.63
2016-12-02,2016-12-02,223.36
2016-12-05,2016-12-05,228.55
2016-12-06,2016-12-06,231.38
2016-12-07,2016-12-07,235.56
2016-12-08,2016-12-08,241.45
2016-12-09,2016-12-09,241.85
2016-12-12,2016-12-12,237.17
2016-12-13,2016-12-13,238.55
2016-12-14,2016-12-14,239.93
2016-12-15,2016-12-15,243.0
2016-12-16,2016-12-16,238.9
2016-12-19,2016-12-19,239.07
2016-12-20,2016-12-20,243.09
2016-12-21,2016-12-21,241.44
2016-12-22,2016-12-22,240.12
2016-12-23,2016-12-23,240.97
2016-12-27,2016-12-27,241.56
2016-12-28,2016-12-28,240.65
2016-12-29,2016-12-29,238.18
2016-12-30,2016-12-30,239.45
2017-01-03,2017-01-03,241.57
2017-01-04,2017-01-04,243.13
2017-01-05,2017-01-05,241.32
2017-01-06,2017-01-06,244.9
2017-01-09,2017-01-09,242.89
2017-01-10,2017-01-10,242.57
2017-01-11,2017-01-11,245.76
2017-01-12,2017-01-12,243.84
2017-01-13,2017-01-13,244.3
2017-01-17,2017-01-17,235.74
2017-01-18,2017-01-18,234.29
2017-01-19,2017-01-19,231.41
2017-01-20,2017-01-20,232.2
2017-01-23,2017-01-23,232.67
2017-01-24,2017-01-24,233.68
2017-01-25,2017-01-25,237.25
2017-01-26,2017-01-26,239.58
2017-01-27,2017-01-27,236.95
2017-01-30,2017-01-30,233.9
2017-01-31,2017-01-31,229.32
2017-02-01,2017-02-01,230.67
2017-02-02,2017-02-02,230.41
2017-02-03,2017-02-03,240.95
2017-02-06,2017-02-06,239.98
2017-02-07,2017-02-07,239.62
2017-02-08,2017-02-08,237.73
2017-02-09,2017-02-09,241.55
2017-02-10,2017-02-10,242.72
2017-02-13,2017-02-13,246.27
2017-02-14,2017-02-14,249.46
2017-02-15,2017-02-15,250.54
2017-02-16,2017-02-16,249.44
2017-02-17,2017-02-17,250.38
2017-02-21,2017-02-21,251.76
2017-02-22,2017-02-22,251.73
2017-02-23,2017-02-23,251.19
2017-02-24,2017-02-24,247.35
2017-02-27,2017-02-27,249.33
2017-02-28,2017-02-28,248.06
2017-03-01,2017-03-01,252.71
2017-03-02,2017-03-02,251.06
2017-03-03,2017-03-03,252.89
2017-03-06,2017-03-06,252.01
2017-03-07,2017-03-07,250.9
2017-03-08,2017-03-08,250.24
2017-03-09,2017-03-09,250.18
2017-03-10,2017-03-10,248.38
2017-03-13,2017-03-13,248.16
2017-03-14,2017-03-14,247.72
2017-03-15,2017-03-15,246.78
2017-03-16,2017-03-16,248.22
2017-03-17,2017-03-17,243.94
2017-03-20,2017-03-20,242.14
2017-03-21,2017-03-21,233.0
2017-03-22,2017-03-22,231.07
2017-03-23,2017-03-23,231.9
2017-03-24,2017-03-24,228.41
2017-03-27,2017-03-27,225.48
2017-03-28,2017-03-28,229.33
2017-03-29,2017-03-29,228.45
2017-03-30,2017-03-30,231.22
2017-03-31,2017-03-31,229.72
2017-04-03,2017-04-03,228.96
2017-04-04,2017-04-04,229.26
2017-04-05,2017-04-05,227.66
2017-04-06,2017-04-06,228.64
2017-04-07,2017-04-07,227.88
2017-04-10,2017-04-10,228.89
2017-04-11,2017-04-11,227.74
2017-04-12,2017-04-12,225.75
2017-04-13,2017-04-13,223.32
2017-04-17,2017-04-17,226.26
2017-04-18,2017-04-18,215.59
2017-04-19,2017-04-19,214.09
2017-04-20,2017-04-20,218.06
2017-04-21,2017-04-21,216.86
2017-04-24,2017-04-24,223.22
2017-04-25,2017-04-25,226.63
2017-04-26,2017-04-26,226.2
