DATE,DATE,CLOSE
2016-11-01,2016-11-01,152.79
2016-11-02,2016-11-02,151.95
2016-11-03,2016-11-03,152.37
2016-11-04,2016-11-04,152.43
2016-11-07,2016-11-07,155.72
2016-11-08,2016-11-08,155.17
2016-11-09,2016-11-09,154.81
2016-11-10,2016-11-10,160.22
2016-11-11,2016-11-11,161.27
2016-11-14,2016-11-14,158.21
2016-11-15,2016-11-15,158.67
2016-11-16,2016-11-16,159.29
2016-11-17,2016-11-17,159.8
2016-11-18,2016-11-18,160.39
2016-11-21,2016-11-21,162.77
2016-11-22,2016-11-22,162.67
2016-11-23,2016-11-23,161.98
2016-11-25,2016-11-25,163.14
2016-11-28,2016-11-28,164.52
2016-11-29,2016-11-29,163.53
2016-11-30,2016-11-30,162.22
2016-12-01,2016-12-01,159.82
2016-12-02,2016-12-02,160.02
2016-12-05,2016-12-05,159.84
2016-12-06,2016-12-06,160.35
2016-12-07,2016-12-07,164.79
2016-12-08,2016-12-08,165.36
2016-12-09,2016-12-09,166.52
2016-12-12,2016-12-12,165.5
2016-12-13,2016-12-13,168.29
2016-12-14,2016-12-14,168.51
2016-12-15,2016-12-15,168.02
2016-12-16,2016-12-16,166.73
2016-12-19,2016-12-19,166.68
2016-12-20,2016-12-20,167.6
2016-12-21,2016-12-21,167.33
2016-12-22,2016-12-22,167.06
2016-12-23,2016-12-23,166.71
2016-12-27,2016-12-27,167.14
2016-12-28,2016-12-28,166.19
2016-12-29,2016-12-29,166.6
2016-12-30,2016-12-30,165.99
2017-01-03,2017-01-03,167.19
2017-01-04,2017-01-04,169.26
2017-01-05,2017-01-05,168.7
2017-01-06,2017-01-06,169.53
2017-01-09,2017-01-09,167.65
2017-01-10,2017-01-10,165.52
2017-01-11,2017-01-11,167.75
2017-01-12,2017-01-12,167.95
2017-01-13,2017-01-13,167.34
2017-01-17,2017-01-17,167.89
2017-01-18,2017-01-18,166.8
2017-01-19,2017-01-19,166.81
2017-01-20,2017-01-20,170.55
2017-01-23,2017-01-23,171.03
2017-01-24,2017-01-24,175.9
2017-01-25,2017-01-25,178.29
2017-01-26,2017-01-26,178.66
2017-01-27,2017-01-27,177.3
2017-01-30,2017-01-30,175.8
2017-01-31,2017-01-31,174.52
2017-02-01,2017-02-01,174.29
2017-02-02,2017-02-02,174.58
2017-02-03,2017-02-03,175.82
2017-02-06,2017-02-06,175.86
2017-02-07,2017-02-07,178.46
2017-02-08,2017-02-08,176.17
2017-02-09,2017-02-09,177.21
2017-02-10,2017-02-10,178.68
2017-02-13,2017-02-13,179.36
2017-02-14,2017-02-14,180.13
2017-02-15,2017-02-15,181.68
2017-02-16,2017-02-16,181.43
2017-02-17,2017-02-17,180.67
2017-02-21,2017-02-21,180.26
2017-02-22,2017-02-22,181.15
2017-02-23,2017-02-23,181.65
2017-02-24,2017-02-24,181.35
2017-02-27,2017-02-27,179.4
2017-02-28,2017-02-28,179.82
2017-03-01,2017-03-01,181.95
2017-03-02,2017-03-02,180.53
2017-03-03,2017-03-03,180.05
2017-03-06,2017-03-06,180.47
2017-03-07,2017-03-07,180.38
2017-03-08,2017-03-08,179.45
2017-03-09,2017-03-09,177.18
2017-03-10,2017-03-10,177.83
2017-03-13,2017-03-13,176.46
2017-03-14,2017-03-14,175.72
2017-03-15,2017-03-15,175.81
2017-03-16,2017-03-16,177.24
2017-03-17,2017-03-17,175.65
2017-03-20,2017-03-20,175.7
2017-03-21,2017-03-21,173.88
2017-03-22,2017-03-22,174.78
2017-03-23,2017-03-23,174.82
2017-03-24,2017-03-24,173.83
2017-03-27,2017-03-27,173.77
2017-03-28,2017-03-28,174.51
2017-03-29,2017-03-29,173.94
2017-03-30,2017-03-30,173.86
2017-03-31,2017-03-31,174.14
2017-04-03,2017-04-03,174.5
2017-04-04,2017-04-04,174.52
2017-04-05,2017-04-05,172.88
2017-04-06,2017-04-06,172.45
2017-04-07,2017-04-07,172.14
2017-04-10,2017-04-10,171.2
2017-04-11,2017-04-11,170.58
2017-04-12,2017-04-12,170.66
2017-04-13,2017-04-13,169.53
2017-04-17,2017-04-17,171.1
2017-04-18,2017-04-18,170.05
2017-04-19,2017-04-19,161.69
2017-04-20,2017-04-20,162.3
2017-04-21,2017-04-21,160.38
2017-04-24,2017-04-24,160.75
2017-04-25,2017-04-25,160.39
2017-04-26,2017-04-26,160.06
2017-04-27,2017-04-27,160.32
2017-04-28,2017-04-28,160.29
2017-05-01,2017-05-01,158.84
2017-05-02,2017-05-02,159.1
2017-05-03,2017-05-03,158.63
2017-05-04,2017-05-04,159.05
2017-05-05,2017-05-05,155.05
2017-05-08,2017-05-08,153.03
2017-05-09,2017-05-09,152.11
2017-05-10,2017-05-10,151.25
2017-05-11,2017-05-11,150.65
2017-05-12,2017-05-12,150.37
2017-05-15,2017-05-15,151.51
2017-05-16,2017-05-16,153.68
2017-05-17,2017-05-17,150.93
2017-05-18,2017-05-18,150.78
2017-05-19,2017-05-19,151.98
2017-05-22,2017-05-22,152.64
2017-05-23,2017-05-23,152.03
2017-05-24,2017-05-24,152.51
2017-05-25,2017-05-25,153.2
2017-05-26,2017-05-26,152.49
2017-05-30,2017-05-30,151.73
2017-05-31,2017-05-31,152.63
2017-06-01,2017-06-01,152.67
2017-06-02,2017-06-02,152.05
2017-06-05,2017-06-05,152.41
2017-06-06,2017-06-06,152.37
2017-06-07,2017-06-07,150.98
2017-06-08,2017-06-08,152.1
2017-06-09,2017-06-09,154.1
