DATE,DATE,CLOSE
2016-11-01,2016-11-01,68.1
2016-11-02,2016-11-02,67.31
2016-11-03,2016-11-03,66.52
2016-11-04,2016-11-04,65.81
2016-11-07,2016-11-07,66.52
2016-11-08,2016-11-08,66.37
2016-11-09,2016-11-09,66.53
2016-11-10,2016-11-10,66.22
2016-11-11,2016-11-11,65.45
2016-11-14,2016-11-14,65.44
2016-11-15,2016-11-15,65.47
2016-11-16,2016-11-16,65.9
2016-11-17,2016-11-17,66.6
2016-11-18,2016-11-18,66.44
2016-11-21,2016-11-21,66.9
2016-11-22,2016-11-22,66.82
2016-11-23,2016-11-23,66.48
2016-11-25,2016-11-25,66.95
2016-11-28,2016-11-28,66.17
2016-11-29,2016-11-29,67.28
2016-11-30,2016-11-30,66.7
2016-12-01,2016-12-01,63.51
2016-12-02,2016-12-02,63.87
2016-12-05,2016-12-05,64.31
2016-12-06,2016-12-06,64.93
2016-12-07,2016-12-07,66.15
2016-12-08,2016-12-08,66.31
2016-12-09,2016-12-09,64.94
2016-12-12,2016-12-12,64.25
2016-12-13,2016-12-13,65.14
2016-12-14,2016-12-14,66.99
2016-12-15,2016-12-15,67.58
2016-12-16,2016-12-16,67.19
2016-12-19,2016-12-19,67.76
2016-12-20,2016-12-20,68.7
2016-12-21,2016-12-21,67.87
2016-12-22,2016-12-22,67.37
2016-12-23,2016-12-23,67.63
2016-12-27,2016-12-27,68.09
2016-12-28,2016-12-28,67.27
2016-12-29,2016-12-29,67.04
2016-12-30,2016-12-30,66.68
2017-01-03,2017-01-03,67.57
2017-01-04,2017-01-04,68.33
2017-01-05,2017-01-05,69.55
2017-01-06,2017-01-06,69.79
2017-01-09,2017-01-09,70.0
2017-01-10,2017-01-10,70.28
2017-01-11,2017-01-11,70.12
2017-01-12,2017-01-12,69.93
2017-01-13,2017-01-13,70.02
2017-01-17,2017-01-17,69.79
2017-01-18,2017-01-18,69.6
2017-01-19,2017-01-19,68.98
2017-01-20,2017-01-20,69.15
2017-01-23,2017-01-23,67.97
2017-01-24,2017-01-24,67.74
2017-01-25,2017-01-25,68.73
2017-01-26,2017-01-26,67.78
2017-01-27,2017-01-27,67.97
2017-01-30,2017-01-30,67.81
2017-01-31,2017-01-31,68.59
2017-02-01,2017-02-01,68.7
2017-02-02,2017-02-02,69.4
2017-02-03,2017-02-03,69.55
2017-02-06,2017-02-06,69.71
2017-02-07,2017-02-07,71.12
2017-02-08,2017-02-08,63.55
2017-02-09,2017-02-09,63.85
2017-02-10,2017-02-10,63.95
2017-02-13,2017-02-13,63.6
2017-02-14,2017-02-14,63.55
2017-02-15,2017-02-15,63.9
