DATE,DATE,CLOSE
2016-11-01,2016-11-01,12.05
2016-11-02,2016-11-02,11.84
2016-11-03,2016-11-03,11.83
2016-11-04,2016-11-04,11.89
2016-11-07,2016-11-07,12.22
2016-11-08,2016-11-08,11.65
2016-11-09,2016-11-09,11.98
2016-11-10,2016-11-10,11.95
2016-11-11,2016-11-11,12.12
2016-11-14,2016-11-14,12.17
2016-11-15,2016-11-15,12.01
2016-11-16,2016-11-16,12.02
2016-11-17,2016-11-17,12.0
2016-11-18,2016-11-18,11.87
2016-11-21,2016-11-21,11.73
2016-11-22,2016-11-22,11.68
2016-11-23,2016-11-23,11.8
2016-11-25,2016-11-25,11.8
2016-11-28,2016-11-28,11.84
2016-11-29,2016-11-29,11.54
2016-11-30,2016-11-30,11.56
2016-12-01,2016-12-01,11.76
2016-12-02,2016-12-02,11.66
2016-12-05,2016-12-05,11.81
2016-12-06,2016-12-06,11.79
2016-12-07,2016-12-07,11.83
2016-12-08,2016-12-08,11.92
2016-12-09,2016-12-09,12.05
2016-12-12,2016-12-12,12.01
2016-12-13,2016-12-13,11.88
2016-12-14,2016-12-14,11.88
2016-12-15,2016-12-15,11.69
2016-12-16,2016-12-16,11.61
2016-12-19,2016-12-19,11.73
2016-12-20,2016-12-20,11.65
2016-12-21,2016-12-21,11.72
2016-12-22,2016-12-22,11.74
2016-12-23,2016-12-23,11.73
2016-12-27,2016-12-27,11.91
2016-12-28,2016-12-28,11.69
2016-12-29,2016-12-29,11.66
2016-12-30,2016-12-30,11.46
2017-01-03,2017-01-03,11.69
2017-01-04,2017-01-04,11.87
2017-01-05,2017-01-05,11.89
2017-01-06,2017-01-06,11.93
2017-01-09,2017-01-09,12.0
2017-01-10,2017-01-10,12.0
2017-01-11,2017-01-11,12.04
2017-01-12,2017-01-12,12.02
2017-01-13,2017-01-13,12.05
2017-01-17,2017-01-17,12.23
2017-01-18,2017-01-18,12.14
2017-01-19,2017-01-19,12.04
2017-01-20,2017-01-20,11.97
2017-01-23,2017-01-23,11.96
2017-01-24,2017-01-24,12.11
2017-01-25,2017-01-25,12.31
2017-01-26,2017-01-26,12.22
2017-01-27,2017-01-27,12.36
2017-01-30,2017-01-30,12.33
2017-01-31,2017-01-31,12.29
2017-02-01,2017-02-01,12.36
2017-02-02,2017-02-02,12.22
2017-02-03,2017-02-03,12.27
2017-02-06,2017-02-06,12.22
2017-02-07,2017-02-07,12.2
2017-02-08,2017-02-08,12.16
2017-02-09,2017-02-09,12.39
2017-02-10,2017-02-10,13.29
2017-02-13,2017-02-13,13.08
2017-02-14,2017-02-14,13.08
2017-02-15,2017-02-15,13.1
2017-02-16,2017-02-16,13.05
