DATE,DATE,CLOSE
2016-11-01,2016-11-01,123.3
2016-11-02,2016-11-02,122.34
2016-11-03,2016-11-03,122.14
2016-11-04,2016-11-04,122.03
2016-11-07,2016-11-07,124.58
2016-11-08,2016-11-08,124.34
2016-11-09,2016-11-09,122.19
2016-11-10,2016-11-10,115.42
2016-11-11,2016-11-11,114.78
2016-11-14,2016-11-14,113.38
2016-11-15,2016-11-15,113.59
2016-11-16,2016-11-16,115.19
2016-11-17,2016-11-17,115.03
2016-11-18,2016-11-18,115.21
2016-11-21,2016-11-21,117.96
2016-11-22,2016-11-22,118.04
2016-11-23,2016-11-23,117.69
2016-11-25,2016-11-25,117.41
2016-11-28,2016-11-28,116.93
2016-11-29,2016-11-29,117.51
2016-11-30,2016-11-30,117.0
2016-12-01,2016-12-01,117.22
2016-12-02,2016-12-02,120.81
2016-12-05,2016-12-05,119.16
2016-12-06,2016-12-06,124.57
2016-12-07,2016-12-07,125.39
2016-12-08,2016-12-08,123.24
2016-12-09,2016-12-09,122.88
2016-12-12,2016-12-12,122.83
2016-12-13,2016-12-13,123.78
2016-12-14,2016-12-14,123.44
2016-12-15,2016-12-15,125.0
2016-12-16,2016-12-16,124.22
2016-12-19,2016-12-19,125.45
2016-12-20,2016-12-20,125.12
2016-12-21,2016-12-21,126.5
2016-12-22,2016-12-22,125.58
2016-12-23,2016-12-23,125.59
2016-12-27,2016-12-27,128.35
2016-12-28,2016-12-28,125.89
2016-12-29,2016-12-29,125.33
2016-12-30,2016-12-30,123.8
2017-01-03,2017-01-03,127.49
2017-01-04,2017-01-04,129.41
2017-01-05,2017-01-05,131.81
2017-01-06,2017-01-06,131.07
2017-01-09,2017-01-09,130.95
2017-01-10,2017-01-10,129.89
2017-01-11,2017-01-11,130.5
2017-01-12,2017-01-12,129.18
2017-01-13,2017-01-13,133.7
2017-01-17,2017-01-17,132.89
2017-01-18,2017-01-18,133.26
2017-01-19,2017-01-19,138.41
2017-01-20,2017-01-20,138.6
2017-01-23,2017-01-23,137.39
2017-01-24,2017-01-24,140.11
2017-01-25,2017-01-25,139.52
2017-01-26,2017-01-26,138.96
2017-01-27,2017-01-27,142.45
2017-01-30,2017-01-30,141.22
2017-01-31,2017-01-31,140.71
2017-02-01,2017-02-01,140.78
2017-02-02,2017-02-02,139.2
2017-02-03,2017-02-03,140.25
2017-02-06,2017-02-06,140.97
2017-02-07,2017-02-07,144.0
2017-02-08,2017-02-08,144.74
2017-02-09,2017-02-09,144.14
2017-02-10,2017-02-10,144.82
2017-02-13,2017-02-13,143.2
2017-02-14,2017-02-14,140.82
2017-02-15,2017-02-15,142.27
2017-02-16,2017-02-16,142.01
2017-02-17,2017-02-17,142.22
2017-02-21,2017-02-21,142.6
2017-02-22,2017-02-22,143.86
2017-02-23,2017-02-23,142.78
2017-02-24,2017-02-24,143.25
2017-02-27,2017-02-27,143.41
2017-02-28,2017-02-28,142.13
2017-03-01,2017-03-01,142.65
2017-03-02,2017-03-02,139.53
2017-03-03,2017-03-03,139.14
2017-03-06,2017-03-06,141.94
2017-03-07,2017-03-07,141.43
2017-03-08,2017-03-08,140.32
2017-03-09,2017-03-09,140.53
2017-03-10,2017-03-10,140.89
2017-03-13,2017-03-13,143.52
2017-03-14,2017-03-14,143.19
2017-03-15,2017-03-15,145.25
2017-03-16,2017-03-16,144.39
2017-03-17,2017-03-17,145.11
2017-03-20,2017-03-20,145.83
2017-03-21,2017-03-21,142.42
2017-03-22,2017-03-22,142.65
2017-03-23,2017-03-23,141.84
2017-03-24,2017-03-24,142.02
2017-03-27,2017-03-27,144.06
2017-03-28,2017-03-28,145.17
2017-03-29,2017-03-29,146.47
2017-03-30,2017-03-30,148.06
2017-03-31,2017-03-31,147.81
2017-04-03,2017-04-03,146.92
2017-04-04,2017-04-04,145.5
2017-04-05,2017-04-05,143.62
2017-04-06,2017-04-06,143.74
2017-04-07,2017-04-07,143.11
2017-04-10,2017-04-10,143.85
2017-04-11,2017-04-11,144.35
2017-04-12,2017-04-12,143.83
2017-04-13,2017-04-13,142.92
2017-04-17,2017-04-17,147.25
2017-04-18,2017-04-18,143.36
2017-04-19,2017-04-19,139.76
2017-04-20,2017-04-20,141.18
2017-04-21,2017-04-21,142.87
2017-04-24,2017-04-24,143.83
2017-04-25,2017-04-25,152.16
2017-04-26,2017-04-26,150.17
2017-04-27,2017-04-27,153.08
2017-04-28,2017-04-28,152.2
2017-05-01,2017-05-01,155.35
2017-05-02,2017-05-02,156.45
2017-05-03,2017-05-03,155.59
2017-05-04,2017-05-04,157.25
2017-05-05,2017-05-05,156.6
2017-05-08,2017-05-08,156.38
2017-05-09,2017-05-09,157.46
2017-05-10,2017-05-10,160.28
2017-05-11,2017-05-11,158.54
2017-05-12,2017-05-12,160.81
2017-05-15,2017-05-15,160.02
2017-05-16,2017-05-16,159.41
2017-05-17,2017-05-17,153.2
2017-05-18,2017-05-18,155.7
2017-05-19,2017-05-19,157.02
2017-05-22,2017-05-22,157.16
2017-05-23,2017-05-23,157.95
2017-05-24,2017-05-24,157.75
2017-05-25,2017-05-25,163.05
2017-05-26,2017-05-26,162.43
2017-05-30,2017-05-30,163.22
2017-05-31,2017-05-31,163.07
2017-06-01,2017-06-01,162.99
2017-06-02,2017-06-02,165.18
2017-06-05,2017-06-05,165.06
2017-06-06,2017-06-06,165.17
2017-06-07,2017-06-07,165.61
2017-06-08,2017-06-08,165.88
2017-06-09,2017-06-09,158.03
2017-06-12,2017-06-12,151.44
2017-06-13,2017-06-13,152.72
2017-06-14,2017-06-14,152.2
2017-06-15,2017-06-15,151.76
2017-06-16,2017-06-16,152.38
2017-06-19,2017-06-19,153.4
2017-06-20,2017-06-20,152.05
2017-06-21,2017-06-21,155.03
2017-06-22,2017-06-22,154.89
2017-06-23,2017-06-23,158.02
2017-06-26,2017-06-26,157.5
2017-06-27,2017-06-27,151.03
2017-06-28,2017-06-28,153.41
2017-06-29,2017-06-29,150.09
2017-06-30,2017-06-30,149.41
2017-07-03,2017-07-03,146.17
2017-07-05,2017-07-05,147.61
2017-07-06,2017-07-06,146.25
2017-07-07,2017-07-07,150.18
2017-07-10,2017-07-10,152.67
2017-07-11,2017-07-11,154.33
2017-07-12,2017-07-12,158.75
2017-07-13,2017-07-13,158.21
2017-07-14,2017-07-14,161.12
2017-07-17,2017-07-17,161.7
2017-07-18,2017-07-18,183.6
2017-07-19,2017-07-19,183.86
2017-07-20,2017-07-20,183.6
2017-07-21,2017-07-21,188.54
2017-07-24,2017-07-24,187.91
2017-07-25,2017-07-25,186.97
2017-07-26,2017-07-26,189.08
2017-07-27,2017-07-27,182.68
2017-07-28,2017-07-28,184.04
2017-07-31,2017-07-31,181.66
2017-08-01,2017-08-01,182.03
2017-08-02,2017-08-02,180.74
2017-08-03,2017-08-03,179.23
2017-08-04,2017-08-04,180.27
2017-08-07,2017-08-07,181.33
2017-08-08,2017-08-08,178.36
2017-08-09,2017-08-09,175.78
2017-08-10,2017-08-10,169.14
2017-08-11,2017-08-11,171.4
2017-08-14,2017-08-14,171.0
2017-08-15,2017-08-15,168.5
2017-08-16,2017-08-16,169.98
2017-08-17,2017-08-17,166.09
2017-08-18,2017-08-18,166.54
2017-08-21,2017-08-21,166.76
2017-08-22,2017-08-22,169.34
2017-08-23,2017-08-23,169.06
2017-08-24,2017-08-24,168.13
2017-08-25,2017-08-25,165.95
2017-08-28,2017-08-28,167.12
2017-08-29,2017-08-29,168.81
2017-08-30,2017-08-30,174.69
2017-08-31,2017-08-31,174.71
2017-09-01,2017-09-01,174.74
2017-09-05,2017-09-05,174.52
2017-09-06,2017-09-06,179.25
2017-09-07,2017-09-07,179.0
2017-09-08,2017-09-08,176.42
2017-09-11,2017-09-11,181.74
2017-09-12,2017-09-12,185.15
