DATE,DATE,CLOSE
2016-11-01,2016-11-01,43.49
2016-11-02,2016-11-02,43.26
2016-11-03,2016-11-03,43.66
2016-11-04,2016-11-04,44.32
2016-11-07,2016-11-07,45.71
2016-11-08,2016-11-08,45.62
2016-11-09,2016-11-09,45.94
2016-11-10,2016-11-10,47.03
2016-11-11,2016-11-11,46.37
2016-11-14,2016-11-14,45.33
2016-11-15,2016-11-15,45.4
2016-11-16,2016-11-16,46.18
2016-11-17,2016-11-17,45.94
2016-11-18,2016-11-18,45.04
2016-11-21,2016-11-21,44.97
2016-11-22,2016-11-22,44.46
2016-11-23,2016-11-23,44.65
2016-11-25,2016-11-25,44.89
2016-11-28,2016-11-28,43.6
2016-11-29,2016-11-29,44.48
2016-11-30,2016-11-30,43.98
2016-12-01,2016-12-01,43.21
2016-12-02,2016-12-02,44.03
2016-12-05,2016-12-05,44.53
2016-12-06,2016-12-06,44.84
2016-12-07,2016-12-07,44.99
2016-12-08,2016-12-08,45.8
2016-12-09,2016-12-09,46.3
2016-12-12,2016-12-12,46.14
2016-12-13,2016-12-13,46.39
2016-12-14,2016-12-14,46.14
2016-12-15,2016-12-15,46.56
2016-12-16,2016-12-16,45.91
2016-12-19,2016-12-19,45.43
2016-12-20,2016-12-20,46.21
2016-12-21,2016-12-21,46.04
2016-12-22,2016-12-22,45.97
2016-12-23,2016-12-23,46.2
2016-12-27,2016-12-27,46.51
2016-12-28,2016-12-28,45.72
2016-12-29,2016-12-29,45.64
2016-12-30,2016-12-30,45.56
2017-01-03,2017-01-03,46.49
2017-01-04,2017-01-04,47.1
2017-01-05,2017-01-05,46.54
2017-01-06,2017-01-06,47.99
2017-01-09,2017-01-09,48.14
2017-01-10,2017-01-10,48.1
2017-01-11,2017-01-11,49.25
2017-01-12,2017-01-12,48.52
2017-01-13,2017-01-13,48.69
2017-01-17,2017-01-17,48.32
2017-01-18,2017-01-18,48.25
2017-01-19,2017-01-19,47.64
2017-01-20,2017-01-20,47.62
2017-01-23,2017-01-23,47.39
2017-01-24,2017-01-24,47.35
2017-01-25,2017-01-25,48.41
2017-01-26,2017-01-26,48.17
2017-01-27,2017-01-27,48.65
2017-01-30,2017-01-30,47.67
2017-01-31,2017-01-31,48.97
2017-02-01,2017-02-01,49.26
2017-02-02,2017-02-02,48.9
2017-02-03,2017-02-03,49.38
2017-02-06,2017-02-06,49.27
2017-02-07,2017-02-07,49.64
2017-02-08,2017-02-08,49.93
2017-02-09,2017-02-09,50.47
2017-02-10,2017-02-10,50.36
2017-02-13,2017-02-13,50.52
2017-02-14,2017-02-14,50.39
2017-02-15,2017-02-15,51.62
2017-02-16,2017-02-16,50.84
2017-02-17,2017-02-17,51.63
2017-02-21,2017-02-21,51.35
2017-02-22,2017-02-22,51.34
2017-02-23,2017-02-23,51.47
2017-02-24,2017-02-24,51.74
2017-02-27,2017-02-27,51.66
2017-02-28,2017-02-28,51.3
2017-03-01,2017-03-01,52.04
2017-03-02,2017-03-02,51.38
2017-03-03,2017-03-03,51.98
2017-03-06,2017-03-06,51.25
2017-03-07,2017-03-07,51.21
2017-03-08,2017-03-08,51.41
2017-03-09,2017-03-09,51.43
2017-03-10,2017-03-10,52.15
2017-03-13,2017-03-13,52.45
2017-03-14,2017-03-14,52.21
2017-03-15,2017-03-15,54.1
2017-03-16,2017-03-16,53.05
2017-03-17,2017-03-17,53.31
2017-03-20,2017-03-20,53.15
2017-03-21,2017-03-21,52.66
2017-03-22,2017-03-22,53.13
2017-03-23,2017-03-23,53.18
2017-03-24,2017-03-24,53.08
2017-03-27,2017-03-27,53.24
2017-03-28,2017-03-28,53.44
2017-03-29,2017-03-29,53.12
2017-03-30,2017-03-30,53.32
2017-03-31,2017-03-31,52.87
2017-04-03,2017-04-03,53.2
2017-04-04,2017-04-04,52.62
2017-04-05,2017-04-05,52.71
2017-04-06,2017-04-06,53.15
2017-04-07,2017-04-07,52.84
2017-04-10,2017-04-10,52.72
2017-04-11,2017-04-11,52.83
2017-04-12,2017-04-12,52.55
2017-04-13,2017-04-13,52.33
2017-04-17,2017-04-17,53.46
2017-04-18,2017-04-18,53.03
2017-04-19,2017-04-19,53.07
2017-04-20,2017-04-20,53.13
2017-04-21,2017-04-21,53.27
2017-04-24,2017-04-24,54.44
2017-04-25,2017-04-25,54.81
2017-04-26,2017-04-26,54.83
2017-04-27,2017-04-27,55.43
2017-04-28,2017-04-28,55.05
2017-05-01,2017-05-01,55.8
2017-05-02,2017-05-02,55.93
2017-05-03,2017-05-03,56.16
2017-05-04,2017-05-04,56.7
2017-05-05,2017-05-05,56.64
2017-05-08,2017-05-08,56.32
2017-05-09,2017-05-09,56.87
2017-05-10,2017-05-10,56.27
2017-05-11,2017-05-11,56.23
2017-05-12,2017-05-12,56.16
2017-05-15,2017-05-15,56.7
2017-05-16,2017-05-16,56.83
2017-05-17,2017-05-17,55.77
2017-05-18,2017-05-18,55.85
2017-05-19,2017-05-19,56.13
2017-05-22,2017-05-22,56.08
2017-05-23,2017-05-23,58.66
2017-05-24,2017-05-24,59.23
2017-05-25,2017-05-25,59.3
2017-05-26,2017-05-26,59.51
2017-05-30,2017-05-30,60.37
2017-05-31,2017-05-31,60.34
2017-06-01,2017-06-01,60.73
2017-06-02,2017-06-02,60.81
2017-06-05,2017-06-05,60.4
2017-06-06,2017-06-06,60.1
2017-06-07,2017-06-07,60.63
2017-06-08,2017-06-08,60.15
2017-06-09,2017-06-09,59.21
2017-06-12,2017-06-12,58.99
2017-06-13,2017-06-13,59.28
2017-06-14,2017-06-14,59.38
2017-06-15,2017-06-15,59.21
2017-06-16,2017-06-16,59.51
2017-06-19,2017-06-19,60.55
2017-06-20,2017-06-20,60.33
2017-06-21,2017-06-21,59.79
2017-06-22,2017-06-22,60.61
2017-06-23,2017-06-23,59.77
2017-06-26,2017-06-26,59.24
2017-06-27,2017-06-27,58.88
2017-06-28,2017-06-28,59.4
2017-06-29,2017-06-29,58.8
2017-06-30,2017-06-30,59.31
2017-07-03,2017-07-03,59.13
2017-07-05,2017-07-05,59.77
2017-07-06,2017-07-06,59.22
2017-07-07,2017-07-07,59.63
2017-07-10,2017-07-10,59.86
2017-07-11,2017-07-11,59.8
2017-07-12,2017-07-12,60.73
2017-07-13,2017-07-13,61.19
2017-07-14,2017-07-14,61.52
2017-07-17,2017-07-17,61.55
2017-07-18,2017-07-18,61.21
2017-07-19,2017-07-19,61.38
2017-07-20,2017-07-20,60.98
2017-07-21,2017-07-21,61.37
2017-07-24,2017-07-24,61.5
2017-07-25,2017-07-25,60.54
2017-07-26,2017-07-26,59.72
2017-07-27,2017-07-27,59.91
2017-07-28,2017-07-28,60.08
2017-07-31,2017-07-31,59.79
2017-08-01,2017-08-01,59.94
2017-08-02,2017-08-02,60.2
2017-08-03,2017-08-03,60.37
2017-08-04,2017-08-04,60.13
2017-08-07,2017-08-07,60.87
2017-08-08,2017-08-08,60.14
2017-08-09,2017-08-09,59.68
