DATE,DATE,CLOSE
2016-11-01,2016-11-01,49.0
2016-11-02,2016-11-02,48.12
2016-11-03,2016-11-03,47.38
2016-11-04,2016-11-04,47.01
2016-11-07,2016-11-07,47.88
2016-11-08,2016-11-08,48.17
2016-11-09,2016-11-09,48.94
2016-11-10,2016-11-10,49.47
2016-11-11,2016-11-11,49.95
2016-11-14,2016-11-14,52.24
2016-11-15,2016-11-15,52.72
2016-11-16,2016-11-16,52.65
2016-11-17,2016-11-17,52.01
2016-11-18,2016-11-18,51.71
2016-11-21,2016-11-21,52.18
2016-11-22,2016-11-22,52.69
2016-11-23,2016-11-23,52.53
2016-11-25,2016-11-25,52.79
2016-11-28,2016-11-28,52.87
2016-11-29,2016-11-29,51.99
2016-11-30,2016-11-30,52.16
2016-12-01,2016-12-01,51.54
2016-12-02,2016-12-02,51.51
2016-12-05,2016-12-05,52.13
2016-12-06,2016-12-06,51.52
2016-12-07,2016-12-07,51.66
2016-12-08,2016-12-08,51.56
2016-12-09,2016-12-09,50.02
2016-12-12,2016-12-12,49.65
2016-12-13,2016-12-13,49.71
2016-12-14,2016-12-14,48.89
2016-12-15,2016-12-15,49.5
2016-12-16,2016-12-16,48.99
2016-12-19,2016-12-19,49.39
2016-12-20,2016-12-20,49.74
2016-12-21,2016-12-21,50.05
2016-12-22,2016-12-22,50.44
2016-12-23,2016-12-23,50.47
2016-12-27,2016-12-27,50.65
2016-12-28,2016-12-28,49.22
2016-12-29,2016-12-29,49.01
2016-12-30,2016-12-30,48.49
2017-01-03,2017-01-03,49.19
2017-01-04,2017-01-04,49.83
2017-01-05,2017-01-05,49.49
2017-01-06,2017-01-06,49.04
2017-01-09,2017-01-09,48.09
2017-01-10,2017-01-10,47.93
2017-01-11,2017-01-11,48.26
2017-01-12,2017-01-12,48.37
2017-01-13,2017-01-13,48.52
2017-01-17,2017-01-17,47.94
2017-01-18,2017-01-18,47.76
2017-01-19,2017-01-19,47.61
2017-01-20,2017-01-20,47.87
2017-01-23,2017-01-23,48.18
2017-01-24,2017-01-24,49.08
2017-01-25,2017-01-25,49.75
2017-01-26,2017-01-26,49.08
2017-01-27,2017-01-27,49.0
2017-01-30,2017-01-30,47.35
2017-01-31,2017-01-31,48.29
2017-02-01,2017-02-01,48.13
2017-02-02,2017-02-02,49.8
2017-02-03,2017-02-03,49.84
2017-02-06,2017-02-06,50.26
2017-02-07,2017-02-07,49.53
2017-02-08,2017-02-08,48.85
2017-02-09,2017-02-09,49.13
2017-02-10,2017-02-10,49.78
2017-02-13,2017-02-13,50.34
2017-02-14,2017-02-14,50.25
2017-02-15,2017-02-15,50.82
2017-02-16,2017-02-16,50.95
2017-02-17,2017-02-17,50.81
2017-02-21,2017-02-21,50.45
2017-02-22,2017-02-22,54.15
2017-02-23,2017-02-23,52.31
2017-02-24,2017-02-24,53.03
2017-02-27,2017-02-27,52.61
2017-02-28,2017-02-28,51.61
2017-03-01,2017-03-01,52.34
2017-03-02,2017-03-02,51.72
2017-03-03,2017-03-03,51.52
2017-03-06,2017-03-06,51.76
2017-03-07,2017-03-07,51.51
2017-03-08,2017-03-08,51.99
2017-03-09,2017-03-09,52.11
2017-03-10,2017-03-10,52.51
2017-03-13,2017-03-13,51.85
2017-03-14,2017-03-14,51.42
2017-03-15,2017-03-15,51.9
2017-03-16,2017-03-16,52.36
2017-03-17,2017-03-17,52.36
2017-03-20,2017-03-20,52.65
2017-03-21,2017-03-21,51.52
2017-03-22,2017-03-22,51.21
2017-03-23,2017-03-23,51.48
2017-03-24,2017-03-24,51.1
2017-03-27,2017-03-27,50.77
2017-03-28,2017-03-28,51.01
2017-03-29,2017-03-29,50.96
2017-03-30,2017-03-30,51.09
2017-03-31,2017-03-31,51.11
2017-04-03,2017-04-03,50.24
2017-04-04,2017-04-04,49.99
2017-04-05,2017-04-05,49.82
2017-04-06,2017-04-06,50.08
2017-04-07,2017-04-07,50.37
2017-04-10,2017-04-10,50.54
2017-04-11,2017-04-11,49.99
2017-04-12,2017-04-12,49.29
2017-04-13,2017-04-13,48.69
2017-04-17,2017-04-17,48.98
2017-04-18,2017-04-18,49.26
2017-04-19,2017-04-19,49.58
2017-04-20,2017-04-20,49.98
2017-04-21,2017-04-21,49.95
2017-04-24,2017-04-24,50.29
2017-04-25,2017-04-25,50.74
2017-04-26,2017-04-26,50.57
2017-04-27,2017-04-27,51.21
2017-04-28,2017-04-28,50.84
2017-05-01,2017-05-01,51.83
2017-05-02,2017-05-02,51.24
2017-05-03,2017-05-03,50.68
2017-05-04,2017-05-04,51.42
2017-05-05,2017-05-05,52.49
2017-05-08,2017-05-08,51.96
2017-05-09,2017-05-09,52.01
2017-05-10,2017-05-10,52.62
2017-05-11,2017-05-11,52.36
2017-05-12,2017-05-12,52.15
2017-05-15,2017-05-15,52.39
2017-05-16,2017-05-16,52.6
2017-05-17,2017-05-17,51.1
2017-05-18,2017-05-18,51.0
2017-05-19,2017-05-19,51.22
2017-05-22,2017-05-22,52.03
2017-05-23,2017-05-23,51.68
2017-05-24,2017-05-24,51.49
2017-05-25,2017-05-25,52.08
2017-05-26,2017-05-26,52.4
2017-05-30,2017-05-30,52.11
2017-05-31,2017-05-31,52.04
2017-06-01,2017-06-01,52.74
2017-06-02,2017-06-02,52.95
2017-06-05,2017-06-05,53.58
2017-06-06,2017-06-06,52.84
2017-06-07,2017-06-07,51.9
2017-06-08,2017-06-08,51.89
2017-06-09,2017-06-09,51.89
2017-06-12,2017-06-12,51.91
2017-06-13,2017-06-13,51.61
2017-06-14,2017-06-14,51.72
2017-06-15,2017-06-15,51.7
2017-06-16,2017-06-16,51.34
2017-06-19,2017-06-19,51.79
2017-06-20,2017-06-20,51.36
2017-06-21,2017-06-21,51.17
2017-06-22,2017-06-22,51.39
2017-06-23,2017-06-23,51.28
2017-06-26,2017-06-26,51.3
2017-06-27,2017-06-27,50.57
2017-06-28,2017-06-28,50.95
2017-06-29,2017-06-29,50.94
2017-06-30,2017-06-30,51.03
2017-07-03,2017-07-03,51.82
2017-07-05,2017-07-05,52.07
2017-07-06,2017-07-06,50.98
2017-07-07,2017-07-07,51.17
2017-07-10,2017-07-10,50.26
2017-07-11,2017-07-11,50.3
2017-07-12,2017-07-12,50.3
2017-07-13,2017-07-13,50.24
2017-07-14,2017-07-14,50.3
2017-07-17,2017-07-17,50.6
2017-07-18,2017-07-18,50.21
2017-07-19,2017-07-19,51.66
2017-07-20,2017-07-20,51.33
2017-07-21,2017-07-21,51.59
2017-07-24,2017-07-24,51.68
2017-07-25,2017-07-25,52.56
2017-07-26,2017-07-26,52.25
2017-07-27,2017-07-27,51.88
2017-07-28,2017-07-28,51.32
2017-07-31,2017-07-31,50.19
2017-08-01,2017-08-01,49.99
2017-08-02,2017-08-02,52.22
2017-08-03,2017-08-03,51.82
2017-08-04,2017-08-04,51.88
2017-08-07,2017-08-07,52.1
2017-08-08,2017-08-08,51.76
2017-08-09,2017-08-09,52.28
2017-08-10,2017-08-10,51.29
2017-08-11,2017-08-11,51.21
2017-08-14,2017-08-14,51.8
2017-08-15,2017-08-15,51.4
2017-08-16,2017-08-16,51.88
2017-08-17,2017-08-17,51.2
2017-08-18,2017-08-18,51.17
2017-08-21,2017-08-21,50.98
2017-08-22,2017-08-22,51.7
2017-08-23,2017-08-23,52.04
2017-08-24,2017-08-24,52.18
2017-08-25,2017-08-25,52.53
2017-08-28,2017-08-28,52.05
2017-08-29,2017-08-29,51.49
2017-08-30,2017-08-30,51.73
2017-08-31,2017-08-31,51.5
2017-09-01,2017-09-01,51.82
2017-09-05,2017-09-05,51.46
2017-09-06,2017-09-06,52.11
2017-09-07,2017-09-07,51.96
2017-09-08,2017-09-08,52.26
2017-09-11,2017-09-11,52.15
2017-09-12,2017-09-12,52.01
2017-09-13,2017-09-13,52.54
2017-09-14,2017-09-14,52.31
2017-09-15,2017-09-15,52.48
2017-09-18,2017-09-18,52.49
2017-09-19,2017-09-19,51.94
2017-09-20,2017-09-20,52.18
2017-09-21,2017-09-21,52.0
2017-09-22,2017-09-22,52.41
2017-09-25,2017-09-25,53.2
2017-09-26,2017-09-26,53.68
2017-09-27,2017-09-27,54.03
2017-09-28,2017-09-28,54.04
2017-09-29,2017-09-29,53.97
2017-10-02,2017-10-02,54.16
2017-10-03,2017-10-03,54.42
2017-10-04,2017-10-04,54.77
2017-10-05,2017-10-05,54.79
2017-10-06,2017-10-06,53.83
2017-10-09,2017-10-09,53.92
2017-10-10,2017-10-10,54.26
2017-10-11,2017-10-11,54.38
2017-10-12,2017-10-12,54.7
2017-10-13,2017-10-13,55.17
2017-10-16,2017-10-16,55.15
2017-10-17,2017-10-17,55.2
2017-10-18,2017-10-18,55.08
2017-10-19,2017-10-19,55.45
2017-10-20,2017-10-20,55.8
2017-10-23,2017-10-23,55.8
2017-10-24,2017-10-24,56.41
2017-10-25,2017-10-25,56.55
2017-10-26,2017-10-26,56.47
2017-10-27,2017-10-27,56.29
2017-10-30,2017-10-30,56.49
2017-10-31,2017-10-31,56.61
2017-11-01,2017-11-01,59.8
2017-11-02,2017-11-02,58.86
2017-11-03,2017-11-03,59.55
2017-11-06,2017-11-06,59.3
2017-11-07,2017-11-07,59.21
2017-11-08,2017-11-08,59.65
2017-11-09,2017-11-09,59.72
2017-11-10,2017-11-10,60.83
2017-11-13,2017-11-13,60.58
2017-11-14,2017-11-14,60.75
2017-11-15,2017-11-15,60.29
2017-11-16,2017-11-16,60.75
2017-11-17,2017-11-17,61.45
2017-11-20,2017-11-20,61.52
2017-11-21,2017-11-21,62.49
2017-11-22,2017-11-22,61.53
2017-11-24,2017-11-24,61.79
2017-11-27,2017-11-27,61.7
2017-11-28,2017-11-28,62.92
2017-11-29,2017-11-29,62.4
2017-11-30,2017-11-30,62.08
2017-12-01,2017-12-01,61.23
