DATE,DATE,CLOSE
2016-11-01,2016-11-01,19.2
2016-11-02,2016-11-02,19.125
2016-11-03,2016-11-03,19.3
2016-11-04,2016-11-04,19.72
2016-11-07,2016-11-07,20.305
2016-11-08,2016-11-08,20.31
2016-11-09,2016-11-09,21.795
2016-11-10,2016-11-10,22.46
2016-11-11,2016-11-11,22.14
2016-11-14,2016-11-14,22.55
2016-11-15,2016-11-15,22.545
2016-11-16,2016-11-16,22.545
2016-11-17,2016-11-17,22.48
2016-11-18,2016-11-18,22.4
2016-11-21,2016-11-21,22.63
2016-11-22,2016-11-22,22.96
2016-11-23,2016-11-23,23.12
2016-11-25,2016-11-25,23.185
2016-11-28,2016-11-28,23.18
2016-11-29,2016-11-29,23.505
2016-11-30,2016-11-30,23.7
2016-12-01,2016-12-01,23.745
2016-12-02,2016-12-02,23.915
2016-12-05,2016-12-05,24.29
2016-12-06,2016-12-06,24.15
2016-12-07,2016-12-07,24.585
2016-12-08,2016-12-08,24.565
2016-12-09,2016-12-09,24.505
2016-12-12,2016-12-12,24.45
2016-12-13,2016-12-13,24.3
2016-12-14,2016-12-14,24.16
2016-12-15,2016-12-15,24.215
2016-12-16,2016-12-16,24.025
2016-12-19,2016-12-19,24.01
2016-12-20,2016-12-20,24.265
2016-12-21,2016-12-21,24.07
2016-12-22,2016-12-22,24.015
2016-12-23,2016-12-23,24.07
2016-12-27,2016-12-27,24.165
2016-12-28,2016-12-28,23.69
2016-12-29,2016-12-29,23.605
2016-12-30,2016-12-30,23.49
2017-01-03,2017-01-03,23.475
2017-01-04,2017-01-04,23.585
2017-01-05,2017-01-05,23.31
2017-01-06,2017-01-06,23.255
2017-01-09,2017-01-09,23.085
2017-01-10,2017-01-10,23.255
2017-01-11,2017-01-11,23.715
2017-01-12,2017-01-12,24.0
2017-01-13,2017-01-13,24.025
2017-01-17,2017-01-17,24.1275
2017-01-18,2017-01-18,25.53
2017-01-19,2017-01-19,25.275
2017-01-20,2017-01-20,25.62
2017-01-23,2017-01-23,25.49
2017-01-24,2017-01-24,25.405
2017-01-25,2017-01-25,25.395
