DATE,DATE,CLOSE
2016-11-01,2016-11-01,38.12
2016-11-02,2016-11-02,37.78
2016-11-03,2016-11-03,36.43
2016-11-04,2016-11-04,36.43
2016-11-07,2016-11-07,37.09
2016-11-08,2016-11-08,37.42
2016-11-09,2016-11-09,36.88
2016-11-10,2016-11-10,34.78
2016-11-11,2016-11-11,34.78
2016-11-14,2016-11-14,35.07
2016-11-15,2016-11-15,35.69
2016-11-16,2016-11-16,35.75
2016-11-17,2016-11-17,35.94
2016-11-18,2016-11-18,35.58
2016-11-21,2016-11-21,34.94
2016-11-22,2016-11-22,35.86
2016-11-23,2016-11-23,35.23
2016-11-25,2016-11-25,35.86
2016-11-28,2016-11-28,35.32
2016-11-29,2016-11-29,35.47
2016-11-30,2016-11-30,34.24
2016-12-01,2016-12-01,33.29
2016-12-02,2016-12-02,33.81
2016-12-05,2016-12-05,33.79
2016-12-06,2016-12-06,33.31
2016-12-07,2016-12-07,33.87
2016-12-08,2016-12-08,34.09
2016-12-09,2016-12-09,34.39
2016-12-12,2016-12-12,34.57
2016-12-13,2016-12-13,34.86
2016-12-14,2016-12-14,34.33
2016-12-15,2016-12-15,34.46
2016-12-16,2016-12-16,34.63
2016-12-19,2016-12-19,34.78
2016-12-20,2016-12-20,34.88
2016-12-21,2016-12-21,34.76
2016-12-22,2016-12-22,35.15
2016-12-23,2016-12-23,35.31
2016-12-27,2016-12-27,35.43
2016-12-28,2016-12-28,34.85
2016-12-29,2016-12-29,35.24
2016-12-30,2016-12-30,34.81
2017-01-03,2017-01-03,35.29
2017-01-04,2017-01-04,35.86
2017-01-05,2017-01-05,36.16
2017-01-06,2017-01-06,36.34
2017-01-09,2017-01-09,35.58
2017-01-10,2017-01-10,34.92
2017-01-11,2017-01-11,35.07
2017-01-12,2017-01-12,35.4
2017-01-13,2017-01-13,35.53
2017-01-17,2017-01-17,36.35
2017-01-18,2017-01-18,36.17
2017-01-19,2017-01-19,36.23
2017-01-20,2017-01-20,36.27
2017-01-23,2017-01-23,36.19
2017-01-24,2017-01-24,36.54
2017-01-25,2017-01-25,36.52
2017-01-26,2017-01-26,36.16
2017-01-27,2017-01-27,36.12
2017-01-30,2017-01-30,36.27
2017-01-31,2017-01-31,36.3
2017-02-01,2017-02-01,35.62
2017-02-02,2017-02-02,35.97
2017-02-03,2017-02-03,36.14
2017-02-06,2017-02-06,35.87
2017-02-07,2017-02-07,36.25
2017-02-08,2017-02-08,36.48
2017-02-09,2017-02-09,36.92
2017-02-10,2017-02-10,37.13
2017-02-13,2017-02-13,37.25
2017-02-14,2017-02-14,37.59
2017-02-15,2017-02-15,37.87
2017-02-16,2017-02-16,37.24
2017-02-17,2017-02-17,37.26
2017-02-21,2017-02-21,37.6
2017-02-22,2017-02-22,37.3
2017-02-23,2017-02-23,35.29
2017-02-24,2017-02-24,34.66
2017-02-27,2017-02-27,34.65
2017-02-28,2017-02-28,35.25
2017-03-01,2017-03-01,35.27
2017-03-02,2017-03-02,35.2
2017-03-03,2017-03-03,35.37
2017-03-06,2017-03-06,35.0
2017-03-07,2017-03-07,34.85
2017-03-08,2017-03-08,34.65
2017-03-09,2017-03-09,34.55
2017-03-10,2017-03-10,35.07
2017-03-13,2017-03-13,34.94
2017-03-14,2017-03-14,34.7
2017-03-15,2017-03-15,35.43
2017-03-16,2017-03-16,34.99
2017-03-17,2017-03-17,34.92
2017-03-20,2017-03-20,34.95
2017-03-21,2017-03-21,34.48
2017-03-22,2017-03-22,34.69
2017-03-23,2017-03-23,34.72
2017-03-24,2017-03-24,34.52
2017-03-27,2017-03-27,34.15
2017-03-28,2017-03-28,34.34
2017-03-29,2017-03-29,34.58
2017-03-30,2017-03-30,34.21
2017-03-31,2017-03-31,34.63
2017-04-03,2017-04-03,34.51
2017-04-04,2017-04-04,34.39
2017-04-05,2017-04-05,34.46
2017-04-06,2017-04-06,34.38
2017-04-07,2017-04-07,34.25
2017-04-10,2017-04-10,34.4
2017-04-11,2017-04-11,34.3
2017-04-12,2017-04-12,34.25
2017-04-13,2017-04-13,34.04
2017-04-17,2017-04-17,34.46
2017-04-18,2017-04-18,34.75
2017-04-19,2017-04-19,34.54
2017-04-20,2017-04-20,34.53
2017-04-21,2017-04-21,34.69
2017-04-24,2017-04-24,34.94
2017-04-25,2017-04-25,35.43
2017-04-26,2017-04-26,34.94
2017-04-27,2017-04-27,34.99
2017-04-28,2017-04-28,35.08
2017-05-01,2017-05-01,34.9
2017-05-02,2017-05-02,34.81
2017-05-03,2017-05-03,34.58
2017-05-04,2017-05-04,34.75
2017-05-05,2017-05-05,34.75
2017-05-08,2017-05-08,34.48
2017-05-09,2017-05-09,34.58
2017-05-10,2017-05-10,34.42
2017-05-11,2017-05-11,34.39
2017-05-12,2017-05-12,34.41
2017-05-15,2017-05-15,34.53
2017-05-16,2017-05-16,34.18
2017-05-17,2017-05-17,34.19
2017-05-18,2017-05-18,34.15
2017-05-19,2017-05-19,34.83
2017-05-22,2017-05-22,35.21
2017-05-23,2017-05-23,35.21
2017-05-24,2017-05-24,35.4
2017-05-25,2017-05-25,33.13
2017-05-26,2017-05-26,33.12
2017-05-30,2017-05-30,33.27
2017-05-31,2017-05-31,33.63
2017-06-01,2017-06-01,33.91
2017-06-02,2017-06-02,34.11
2017-06-05,2017-06-05,34.16
2017-06-06,2017-06-06,34.5
2017-06-07,2017-06-07,34.98
2017-06-08,2017-06-08,34.18
2017-06-09,2017-06-09,34.77
2017-06-12,2017-06-12,34.73
2017-06-13,2017-06-13,34.68
2017-06-14,2017-06-14,34.72
2017-06-15,2017-06-15,34.6
2017-06-16,2017-06-16,33.95
2017-06-19,2017-06-19,34.35
2017-06-20,2017-06-20,33.94
2017-06-21,2017-06-21,34.0
2017-06-22,2017-06-22,34.42
2017-06-23,2017-06-23,34.94
2017-06-26,2017-06-26,34.8
2017-06-27,2017-06-27,34.15
2017-06-28,2017-06-28,34.21
2017-06-29,2017-06-29,33.96
2017-06-30,2017-06-30,34.11
2017-07-03,2017-07-03,34.15
2017-07-05,2017-07-05,33.73
2017-07-06,2017-07-06,33.15
2017-07-07,2017-07-07,33.2
2017-07-10,2017-07-10,32.65
2017-07-11,2017-07-11,32.53
2017-07-12,2017-07-12,32.62
2017-07-13,2017-07-13,32.71
2017-07-14,2017-07-14,32.83
2017-07-17,2017-07-17,33.19
2017-07-18,2017-07-18,32.83
2017-07-19,2017-07-19,32.62
2017-07-20,2017-07-20,32.93
2017-07-21,2017-07-21,33.23
2017-07-24,2017-07-24,33.31
2017-07-25,2017-07-25,34.11
2017-07-26,2017-07-26,34.01
2017-07-27,2017-07-27,34.33
2017-07-28,2017-07-28,34.15
2017-07-31,2017-07-31,34.17
2017-08-01,2017-08-01,34.14
2017-08-02,2017-08-02,34.16
2017-08-03,2017-08-03,33.93
2017-08-04,2017-08-04,33.67
2017-08-07,2017-08-07,34.2
2017-08-08,2017-08-08,33.66
2017-08-09,2017-08-09,33.61
2017-08-10,2017-08-10,33.66
2017-08-11,2017-08-11,34.01
2017-08-14,2017-08-14,34.42
2017-08-15,2017-08-15,34.24
2017-08-16,2017-08-16,34.35
2017-08-17,2017-08-17,33.86
2017-08-18,2017-08-18,34.09
2017-08-21,2017-08-21,33.93
2017-08-22,2017-08-22,34.38
2017-08-23,2017-08-23,33.92
2017-08-24,2017-08-24,32.09
2017-08-25,2017-08-25,31.34
2017-08-28,2017-08-28,31.05
2017-08-29,2017-08-29,30.97
2017-08-30,2017-08-30,30.86
2017-08-31,2017-08-31,30.74
2017-09-01,2017-09-01,30.92
2017-09-05,2017-09-05,30.7
2017-09-06,2017-09-06,30.85
