DATE,DATE,CLOSE
2016-11-01,2016-11-01,16.24
2016-11-02,2016-11-02,16.15
2016-11-03,2016-11-03,16.23
2016-11-04,2016-11-04,16.23
2016-11-07,2016-11-07,16.73
2016-11-08,2016-11-08,16.645
2016-11-09,2016-11-09,17.485
2016-11-10,2016-11-10,17.94
2016-11-11,2016-11-11,18.28
2016-11-14,2016-11-14,18.58
2016-11-15,2016-11-15,18.55
2016-11-16,2016-11-16,18.11
2016-11-17,2016-11-17,18.26
2016-11-18,2016-11-18,18.29
2016-11-21,2016-11-21,18.41
2016-11-22,2016-11-22,18.37
2016-11-23,2016-11-23,18.52
2016-11-25,2016-11-25,18.57
2016-11-28,2016-11-28,18.38
2016-11-29,2016-11-29,18.49
2016-11-30,2016-11-30,18.72
2016-12-01,2016-12-01,18.93
2016-12-02,2016-12-02,18.6
2016-12-05,2016-12-05,18.93
2016-12-06,2016-12-06,19.18
2016-12-07,2016-12-07,19.67
2016-12-08,2016-12-08,20.0
2016-12-09,2016-12-09,19.93
2016-12-12,2016-12-12,19.41
2016-12-13,2016-12-13,19.45
2016-12-14,2016-12-14,19.18
2016-12-15,2016-12-15,19.35
2016-12-16,2016-12-16,19.11
2016-12-19,2016-12-19,19.27
2016-12-20,2016-12-20,19.4
2016-12-21,2016-12-21,19.35
2016-12-22,2016-12-22,19.42
2016-12-23,2016-12-23,19.36
2016-12-27,2016-12-27,19.48
2016-12-28,2016-12-28,19.49
2016-12-29,2016-12-29,19.37
2016-12-30,2016-12-30,19.36
2017-01-03,2017-01-03,19.29
2017-01-04,2017-01-04,19.6
2017-01-05,2017-01-05,19.28
2017-01-06,2017-01-06,19.42
2017-01-09,2017-01-09,19.27
2017-01-10,2017-01-10,19.5
2017-01-11,2017-01-11,19.65
2017-01-12,2017-01-12,19.45
2017-01-13,2017-01-13,19.66
2017-01-17,2017-01-17,19.105
2017-01-18,2017-01-18,19.29
2017-01-19,2017-01-19,19.13
2017-01-20,2017-01-20,18.69
