DATE,DATE,CLOSE
2016-11-01,2016-11-01,80.94
2016-11-02,2016-11-02,82.21
2016-11-03,2016-11-03,82.41
2016-11-04,2016-11-04,81.76
2016-11-07,2016-11-07,83.1
2016-11-08,2016-11-08,82.89
2016-11-09,2016-11-09,83.33
2016-11-10,2016-11-10,83.12
2016-11-11,2016-11-11,83.13
2016-11-14,2016-11-14,82.83
2016-11-15,2016-11-15,82.69
2016-11-16,2016-11-16,82.3
2016-11-17,2016-11-17,83.0
2016-11-18,2016-11-18,83.16
2016-11-21,2016-11-21,83.75
2016-11-22,2016-11-22,83.96
2016-11-23,2016-11-23,83.89
2016-11-25,2016-11-25,84.11
2016-11-28,2016-11-28,84.15
2016-11-29,2016-11-29,83.88
2016-11-30,2016-11-30,83.08
2016-12-01,2016-12-01,82.36
2016-12-02,2016-12-02,82.2
2016-12-05,2016-12-05,82.91
2016-12-06,2016-12-06,83.04
2016-12-07,2016-12-07,83.14
2016-12-08,2016-12-08,83.19
2016-12-09,2016-12-09,82.93
2016-12-12,2016-12-12,83.03
2016-12-13,2016-12-13,83.57
2016-12-14,2016-12-14,82.05
2016-12-15,2016-12-15,81.28
2016-12-16,2016-12-16,81.78
2016-12-19,2016-12-19,82.11
2016-12-20,2016-12-20,82.37
2016-12-21,2016-12-21,82.43
2016-12-22,2016-12-22,82.07
2016-12-23,2016-12-23,82.11
2016-12-27,2016-12-27,82.15
2016-12-28,2016-12-28,81.65
2016-12-29,2016-12-29,81.7
2016-12-30,2016-12-30,81.17
2017-01-03,2017-01-03,81.32
2017-01-04,2017-01-04,81.96
2017-01-05,2017-01-05,81.66
2017-01-06,2017-01-06,82.38
2017-01-09,2017-01-09,81.73
2017-01-10,2017-01-10,82.26
2017-01-11,2017-01-11,82.75
2017-01-12,2017-01-12,82.32
2017-01-13,2017-01-13,82.63
2017-01-17,2017-01-17,81.55
2017-01-18,2017-01-18,81.08
2017-01-19,2017-01-19,80.92
2017-01-20,2017-01-20,81.36
2017-01-23,2017-01-23,81.18
2017-01-24,2017-01-24,82.17
2017-01-25,2017-01-25,82.69
2017-01-26,2017-01-26,82.53
2017-01-27,2017-01-27,82.68
2017-01-30,2017-01-30,82.74
2017-01-31,2017-01-31,82.64
2017-02-01,2017-02-01,81.76
