DATE,DATE,CLOSE
2016-11-01,2016-11-01,168.8
2016-11-02,2016-11-02,172.56
2016-11-03,2016-11-03,172.99
2016-11-04,2016-11-04,172.17
2016-11-07,2016-11-07,176.96
2016-11-08,2016-11-08,177.0
2016-11-09,2016-11-09,173.42
2016-11-10,2016-11-10,167.94
2016-11-11,2016-11-11,167.54
2016-11-14,2016-11-14,163.78
2016-11-15,2016-11-15,166.45
2016-11-16,2016-11-16,167.83
2016-11-17,2016-11-17,167.04
2016-11-18,2016-11-18,168.16
2016-11-21,2016-11-21,172.58
2016-11-22,2016-11-22,177.02
2016-11-23,2016-11-23,177.08
2016-11-25,2016-11-25,176.75
2016-11-28,2016-11-28,174.65
2016-11-29,2016-11-29,175.45
2016-11-30,2016-11-30,170.49
2016-12-01,2016-12-01,162.79
2016-12-02,2016-12-02,164.22
2016-12-05,2016-12-05,166.13
2016-12-06,2016-12-06,164.76
2016-12-07,2016-12-07,168.55
2016-12-08,2016-12-08,170.71
2016-12-09,2016-12-09,179.09
2016-12-12,2016-12-12,178.16
2016-12-13,2016-12-13,179.44
2016-12-14,2016-12-14,177.62
2016-12-15,2016-12-15,180.01
2016-12-16,2016-12-16,178.42
2016-12-19,2016-12-19,180.46
2016-12-20,2016-12-20,182.07
2016-12-21,2016-12-21,182.29
2016-12-22,2016-12-22,180.6
2016-12-23,2016-12-23,181.94
2016-12-27,2016-12-27,182.31
2016-12-28,2016-12-28,180.19
2016-12-29,2016-12-29,179.87
2016-12-30,2016-12-30,176.77
2017-01-03,2017-01-03,178.34
2017-01-04,2017-01-04,177.07
2017-01-05,2017-01-05,174.28
2017-01-06,2017-01-06,176.59
2017-01-09,2017-01-09,176.97
2017-01-10,2017-01-10,180.57
2017-01-11,2017-01-11,179.42
2017-01-12,2017-01-12,178.86
2017-01-13,2017-01-13,180.45
2017-01-17,2017-01-17,179.11
2017-01-18,2017-01-18,185.02
2017-01-19,2017-01-19,185.56
2017-01-20,2017-01-20,191.08
2017-01-23,2017-01-23,191.0
2017-01-24,2017-01-24,197.75
2017-01-25,2017-01-25,202.48
2017-01-26,2017-01-26,204.17
2017-01-27,2017-01-27,205.71
2017-01-30,2017-01-30,203.22
2017-01-31,2017-01-31,199.5
2017-02-01,2017-02-01,203.69
2017-02-02,2017-02-02,204.05
2017-02-03,2017-02-03,206.16
2017-02-06,2017-02-06,206.56
2017-02-07,2017-02-07,205.91
2017-02-08,2017-02-08,206.89
2017-02-09,2017-02-09,205.34
2017-02-10,2017-02-10,205.52
2017-02-13,2017-02-13,206.71
2017-02-14,2017-02-14,205.33
2017-02-15,2017-02-15,205.99
2017-02-16,2017-02-16,208.18
2017-02-17,2017-02-17,210.41
2017-02-21,2017-02-21,212.75
2017-02-22,2017-02-22,214.16
2017-02-23,2017-02-23,210.58
