DATE,DATE,CLOSE
2016-11-01,2016-11-01,74.88
2016-11-02,2016-11-02,75.36
2016-11-03,2016-11-03,74.07
2016-11-04,2016-11-04,73.62
2016-11-07,2016-11-07,75.54
2016-11-08,2016-11-08,75.81
2016-11-09,2016-11-09,76.04
2016-11-10,2016-11-10,77.2
2016-11-11,2016-11-11,77.81
2016-11-14,2016-11-14,78.34
2016-11-15,2016-11-15,79.17
2016-11-16,2016-11-16,80.54
2016-11-17,2016-11-17,81.65
2016-11-18,2016-11-18,81.91
2016-11-21,2016-11-21,81.99
2016-11-22,2016-11-22,88.68
2016-11-23,2016-11-23,88.86
2016-11-25,2016-11-25,89.18
2016-11-28,2016-11-28,89.58
2016-11-29,2016-11-29,89.67
2016-11-30,2016-11-30,88.16
2016-12-01,2016-12-01,86.57
2016-12-02,2016-12-02,87.76
2016-12-05,2016-12-05,88.2
2016-12-06,2016-12-06,87.93
2016-12-07,2016-12-07,87.84
2016-12-08,2016-12-08,87.12
2016-12-09,2016-12-09,87.76
2016-12-12,2016-12-12,86.09
2016-12-13,2016-12-13,86.16
2016-12-14,2016-12-14,84.72
2016-12-15,2016-12-15,85.7
2016-12-16,2016-12-16,84.2
2016-12-19,2016-12-19,84.27
2016-12-20,2016-12-20,85.09
2016-12-21,2016-12-21,84.06
2016-12-22,2016-12-22,79.31
2016-12-23,2016-12-23,78.7
2016-12-27,2016-12-27,78.12
2016-12-28,2016-12-28,77.67
2016-12-29,2016-12-29,77.34
2016-12-30,2016-12-30,77.18
2017-01-03,2017-01-03,77.45
2017-01-04,2017-01-04,79.45
2017-01-05,2017-01-05,78.06
2017-01-06,2017-01-06,77.09
2017-01-09,2017-01-09,77.14
2017-01-10,2017-01-10,77.96
2017-01-11,2017-01-11,77.81
2017-01-12,2017-01-12,77.53
2017-01-13,2017-01-13,77.13
2017-01-17,2017-01-17,79.51
2017-01-18,2017-01-18,77.31
2017-01-19,2017-01-19,76.26
2017-01-20,2017-01-20,76.56
2017-01-23,2017-01-23,75.55
2017-01-24,2017-01-24,76.88
2017-01-25,2017-01-25,76.89
2017-01-26,2017-01-26,76.17
2017-01-27,2017-01-27,74.05
2017-01-30,2017-01-30,75.25
2017-01-31,2017-01-31,77.19
2017-02-01,2017-02-01,76.39
2017-02-02,2017-02-02,77.2
2017-02-03,2017-02-03,76.69
2017-02-06,2017-02-06,75.12
2017-02-07,2017-02-07,75.21
2017-02-08,2017-02-08,76.66
2017-02-09,2017-02-09,79.39
2017-02-10,2017-02-10,78.02
2017-02-13,2017-02-13,77.7
2017-02-14,2017-02-14,79.8
2017-02-15,2017-02-15,78.74
2017-02-16,2017-02-16,78.0
2017-02-17,2017-02-17,80.0
2017-02-21,2017-02-21,79.76
2017-02-22,2017-02-22,78.54
2017-02-23,2017-02-23,77.57
2017-02-24,2017-02-24,79.41
2017-02-27,2017-02-27,79.56
2017-02-28,2017-02-28,76.68
2017-03-01,2017-03-01,76.84
2017-03-02,2017-03-02,77.74
2017-03-03,2017-03-03,77.13
2017-03-06,2017-03-06,75.93
2017-03-07,2017-03-07,75.22
2017-03-08,2017-03-08,75.6
2017-03-09,2017-03-09,75.53
2017-03-10,2017-03-10,75.06
2017-03-13,2017-03-13,74.58
2017-03-14,2017-03-14,74.19
2017-03-15,2017-03-15,74.56
2017-03-16,2017-03-16,75.53
2017-03-17,2017-03-17,75.7
2017-03-20,2017-03-20,74.3
2017-03-21,2017-03-21,73.44
2017-03-22,2017-03-22,73.98
2017-03-23,2017-03-23,74.38
2017-03-24,2017-03-24,74.92
2017-03-27,2017-03-27,76.13
2017-03-28,2017-03-28,76.55
2017-03-29,2017-03-29,78.51
2017-03-30,2017-03-30,79.44
2017-03-31,2017-03-31,78.46
2017-04-03,2017-04-03,77.72
2017-04-04,2017-04-04,77.67
2017-04-05,2017-04-05,77.05
2017-04-06,2017-04-06,78.05
2017-04-07,2017-04-07,77.61
2017-04-10,2017-04-10,77.74
2017-04-11,2017-04-11,77.08
2017-04-12,2017-04-12,77.14
2017-04-13,2017-04-13,76.46
2017-04-17,2017-04-17,76.83
2017-04-18,2017-04-18,77.43
2017-04-19,2017-04-19,78.02
2017-04-20,2017-04-20,79.57
2017-04-21,2017-04-21,78.81
2017-04-24,2017-04-24,79.79
2017-04-25,2017-04-25,80.69
2017-04-26,2017-04-26,81.73
2017-04-27,2017-04-27,83.13
2017-04-28,2017-04-28,82.77
2017-05-01,2017-05-01,80.75
2017-05-02,2017-05-02,81.7
2017-05-03,2017-05-03,81.92
2017-05-04,2017-05-04,81.96
2017-05-05,2017-05-05,82.0
2017-05-08,2017-05-08,82.29
2017-05-09,2017-05-09,82.78
2017-05-10,2017-05-10,83.02
2017-05-11,2017-05-11,81.49
2017-05-12,2017-05-12,81.29
2017-05-15,2017-05-15,80.94
2017-05-16,2017-05-16,79.1
2017-05-17,2017-05-17,78.08
2017-05-18,2017-05-18,79.0
2017-05-19,2017-05-19,79.68
2017-05-22,2017-05-22,80.92
2017-05-23,2017-05-23,78.85
2017-05-24,2017-05-24,78.08
2017-05-25,2017-05-25,78.8
2017-05-26,2017-05-26,78.28
2017-05-30,2017-05-30,78.17
2017-05-31,2017-05-31,77.7
2017-06-01,2017-06-01,80.56
2017-06-02,2017-06-02,80.43
2017-06-05,2017-06-05,79.28
2017-06-06,2017-06-06,76.88
2017-06-07,2017-06-07,75.41
2017-06-08,2017-06-08,74.84
2017-06-09,2017-06-09,75.38
2017-06-12,2017-06-12,75.35
2017-06-13,2017-06-13,75.5
2017-06-14,2017-06-14,75.27
2017-06-15,2017-06-15,72.73
2017-06-16,2017-06-16,70.07
2017-06-19,2017-06-19,70.55
2017-06-20,2017-06-20,68.94
2017-06-21,2017-06-21,68.05
2017-06-22,2017-06-22,67.68
2017-06-23,2017-06-23,66.6
2017-06-26,2017-06-26,68.49
2017-06-27,2017-06-27,69.22
2017-06-28,2017-06-28,69.97
