DATE,DATE,CLOSE
2016-11-01,2016-11-01,59.3
2016-11-02,2016-11-02,58.84
2016-11-03,2016-11-03,58.43
2016-11-04,2016-11-04,58.82
2016-11-07,2016-11-07,60.05
2016-11-08,2016-11-08,60.51
2016-11-09,2016-11-09,64.18
2016-11-10,2016-11-10,64.96
2016-11-11,2016-11-11,63.95
2016-11-14,2016-11-14,63.53
2016-11-15,2016-11-15,63.65
2016-11-16,2016-11-16,62.63
2016-11-17,2016-11-17,62.7
2016-11-18,2016-11-18,61.87
2016-11-21,2016-11-21,62.3
2016-11-22,2016-11-22,61.7
2016-11-23,2016-11-23,61.64
2016-11-25,2016-11-25,62.21
2016-11-28,2016-11-28,61.8
2016-11-29,2016-11-29,62.19
2016-11-30,2016-11-30,61.19
2016-12-01,2016-12-01,60.76
2016-12-02,2016-12-02,61.13
2016-12-05,2016-12-05,60.25
2016-12-06,2016-12-06,60.28
2016-12-07,2016-12-07,60.06
2016-12-08,2016-12-08,60.12
2016-12-09,2016-12-09,61.23
2016-12-12,2016-12-12,61.72
2016-12-13,2016-12-13,61.79
2016-12-14,2016-12-14,61.8
2016-12-15,2016-12-15,62.37
2016-12-16,2016-12-16,62.44
2016-12-19,2016-12-19,61.14
2016-12-20,2016-12-20,60.5
2016-12-21,2016-12-21,59.43
2016-12-22,2016-12-22,59.58
2016-12-23,2016-12-23,59.56
2016-12-27,2016-12-27,59.79
2016-12-28,2016-12-28,59.27
2016-12-29,2016-12-29,59.04
2016-12-30,2016-12-30,58.87
2017-01-03,2017-01-03,60.15
2017-01-04,2017-01-04,60.13
2017-01-05,2017-01-05,60.11
2017-01-06,2017-01-06,60.27
2017-01-09,2017-01-09,61.1
2017-01-10,2017-01-10,59.92
2017-01-11,2017-01-11,61.63
2017-01-12,2017-01-12,62.21
2017-01-13,2017-01-13,62.34
2017-01-17,2017-01-17,61.48
2017-01-18,2017-01-18,61.17
2017-01-19,2017-01-19,60.33
2017-01-20,2017-01-20,62.53
2017-01-23,2017-01-23,61.81
2017-01-24,2017-01-24,61.21
2017-01-25,2017-01-25,61.08
2017-01-26,2017-01-26,61.2
2017-01-27,2017-01-27,61.75
2017-01-30,2017-01-30,61.43
2017-01-31,2017-01-31,61.99
2017-02-01,2017-02-01,62.1
2017-02-02,2017-02-02,64.18
2017-02-03,2017-02-03,64.29
2017-02-06,2017-02-06,64.94
2017-02-07,2017-02-07,64.2
2017-02-08,2017-02-08,64.32
2017-02-09,2017-02-09,64.39
2017-02-10,2017-02-10,64.15
2017-02-13,2017-02-13,64.77
2017-02-14,2017-02-14,65.66
2017-02-15,2017-02-15,65.16
2017-02-16,2017-02-16,65.26
2017-02-17,2017-02-17,65.39
2017-02-21,2017-02-21,65.48
2017-02-22,2017-02-22,65.29
2017-02-23,2017-02-23,65.85
2017-02-24,2017-02-24,66.16
2017-02-27,2017-02-27,65.85
2017-02-28,2017-02-28,65.87
2017-03-01,2017-03-01,66.21
2017-03-02,2017-03-02,66.08
2017-03-03,2017-03-03,66.58
2017-03-06,2017-03-06,66.47
2017-03-07,2017-03-07,65.96
2017-03-08,2017-03-08,65.8
2017-03-09,2017-03-09,65.89
2017-03-10,2017-03-10,65.6
2017-03-13,2017-03-13,64.15
2017-03-14,2017-03-14,64.2
2017-03-15,2017-03-15,64.7
2017-03-16,2017-03-16,64.18
2017-03-17,2017-03-17,63.9
2017-03-20,2017-03-20,64.11
2017-03-21,2017-03-21,63.91
2017-03-22,2017-03-22,63.5
2017-03-23,2017-03-23,63.28
2017-03-24,2017-03-24,63.18
2017-03-27,2017-03-27,63.19
2017-03-28,2017-03-28,63.34
2017-03-29,2017-03-29,63.64
2017-03-30,2017-03-30,63.45
2017-03-31,2017-03-31,63.54
2017-04-03,2017-04-03,63.47
2017-04-04,2017-04-04,63.67
2017-04-05,2017-04-05,63.57
2017-04-06,2017-04-06,63.24
2017-04-07,2017-04-07,63.13
2017-04-10,2017-04-10,62.55
2017-04-11,2017-04-11,62.58
2017-04-12,2017-04-12,63.05
2017-04-13,2017-04-13,62.61
2017-04-17,2017-04-17,62.8
2017-04-18,2017-04-18,62.27
2017-04-19,2017-04-19,62.64
2017-04-20,2017-04-20,62.55
2017-04-21,2017-04-21,61.89
2017-04-24,2017-04-24,62.14
2017-04-25,2017-04-25,62.3
2017-04-26,2017-04-26,62.7
2017-04-27,2017-04-27,62.58
2017-04-28,2017-04-28,62.33
2017-05-01,2017-05-01,62.38
2017-05-02,2017-05-02,62.7
2017-05-03,2017-05-03,63.63
2017-05-04,2017-05-04,63.38
2017-05-05,2017-05-05,63.97
2017-05-08,2017-05-08,64.01
2017-05-09,2017-05-09,63.29
2017-05-10,2017-05-10,63.94
2017-05-11,2017-05-11,64.43
2017-05-12,2017-05-12,63.57
2017-05-15,2017-05-15,63.51
2017-05-16,2017-05-16,63.79
2017-05-17,2017-05-17,63.0
2017-05-18,2017-05-18,63.89
2017-05-19,2017-05-19,63.78
2017-05-22,2017-05-22,64.04
2017-05-23,2017-05-23,64.55
2017-05-24,2017-05-24,64.93
2017-05-25,2017-05-25,65.04
2017-05-26,2017-05-26,64.92
2017-05-30,2017-05-30,64.88
2017-05-31,2017-05-31,65.11
2017-06-01,2017-06-01,65.26
2017-06-02,2017-06-02,65.47
2017-06-05,2017-06-05,65.07
2017-06-06,2017-06-06,64.67
2017-06-07,2017-06-07,64.06
2017-06-08,2017-06-08,63.2
2017-06-09,2017-06-09,64.39
2017-06-12,2017-06-12,64.39
2017-06-13,2017-06-13,63.27
2017-06-14,2017-06-14,63.37
2017-06-15,2017-06-15,63.19
2017-06-16,2017-06-16,62.97
2017-06-19,2017-06-19,63.68
2017-06-20,2017-06-20,64.53
2017-06-21,2017-06-21,65.46
2017-06-22,2017-06-22,66.02
2017-06-23,2017-06-23,66.16
2017-06-26,2017-06-26,65.92
2017-06-27,2017-06-27,65.54
2017-06-28,2017-06-28,65.16
2017-06-29,2017-06-29,64.34
2017-06-30,2017-06-30,64.09
2017-07-03,2017-07-03,64.27
2017-07-05,2017-07-05,64.16
2017-07-06,2017-07-06,63.1
2017-07-07,2017-07-07,63.16
2017-07-10,2017-07-10,62.83
2017-07-11,2017-07-11,62.34
2017-07-12,2017-07-12,62.78
2017-07-13,2017-07-13,62.89
2017-07-14,2017-07-14,63.06
2017-07-17,2017-07-17,62.61
2017-07-18,2017-07-18,62.41
2017-07-19,2017-07-19,62.62
2017-07-20,2017-07-20,62.94
2017-07-21,2017-07-21,62.63
2017-07-24,2017-07-24,62.57
2017-07-25,2017-07-25,62.36
2017-07-26,2017-07-26,61.8
2017-07-27,2017-07-27,63.69
2017-07-28,2017-07-28,64.11
2017-07-31,2017-07-31,63.88
2017-08-01,2017-08-01,63.92
2017-08-02,2017-08-02,63.44
2017-08-03,2017-08-03,63.52
2017-08-04,2017-08-04,63.1
2017-08-07,2017-08-07,62.84
2017-08-08,2017-08-08,62.32
2017-08-09,2017-08-09,62.49
2017-08-10,2017-08-10,62.18
2017-08-11,2017-08-11,62.38
2017-08-14,2017-08-14,62.67
2017-08-15,2017-08-15,62.5
2017-08-16,2017-08-16,62.7
2017-08-17,2017-08-17,61.84
2017-08-18,2017-08-18,61.49
2017-08-21,2017-08-21,61.97
2017-08-22,2017-08-22,62.42
2017-08-23,2017-08-23,62.15
2017-08-24,2017-08-24,62.71
2017-08-25,2017-08-25,62.94
2017-08-28,2017-08-28,63.32
2017-08-29,2017-08-29,63.12
2017-08-30,2017-08-30,63.12
2017-08-31,2017-08-31,63.86
2017-09-01,2017-09-01,63.83
2017-09-05,2017-09-05,63.62
2017-09-06,2017-09-06,64.0
2017-09-07,2017-09-07,64.32
2017-09-08,2017-09-08,64.27
2017-09-11,2017-09-11,65.13
2017-09-12,2017-09-12,65.46
2017-09-13,2017-09-13,65.45
2017-09-14,2017-09-14,66.12
2017-09-15,2017-09-15,66.16
2017-09-18,2017-09-18,65.99
2017-09-19,2017-09-19,65.95
2017-09-20,2017-09-20,65.79
2017-09-21,2017-09-21,65.6
2017-09-22,2017-09-22,65.13
2017-09-25,2017-09-25,65.18
2017-09-26,2017-09-26,64.76
2017-09-27,2017-09-27,64.57
2017-09-28,2017-09-28,64.29
2017-09-29,2017-09-29,64.03
2017-10-02,2017-10-02,64.55
2017-10-03,2017-10-03,64.37
2017-10-04,2017-10-04,64.6
2017-10-05,2017-10-05,64.6
2017-10-06,2017-10-06,64.55
2017-10-09,2017-10-09,64.33
2017-10-10,2017-10-10,64.46
2017-10-11,2017-10-11,63.78
2017-10-12,2017-10-12,63.83
2017-10-13,2017-10-13,63.39
2017-10-16,2017-10-16,63.34
2017-10-17,2017-10-17,63.22
2017-10-18,2017-10-18,63.51
2017-10-19,2017-10-19,63.75
2017-10-20,2017-10-20,63.88
2017-10-23,2017-10-23,63.4
2017-10-24,2017-10-24,63.11
2017-10-25,2017-10-25,62.45
2017-10-26,2017-10-26,61.99
2017-10-27,2017-10-27,58.24
2017-10-30,2017-10-30,54.71
2017-10-31,2017-10-31,55.09
2017-11-01,2017-11-01,55.34
2017-11-02,2017-11-02,55.37
2017-11-03,2017-11-03,56.06
2017-11-06,2017-11-06,55.88
2017-11-07,2017-11-07,55.59
2017-11-08,2017-11-08,56.58
2017-11-09,2017-11-09,56.21
2017-11-10,2017-11-10,55.48
2017-11-13,2017-11-13,55.1
2017-11-14,2017-11-14,54.99
2017-11-15,2017-11-15,54.8
2017-11-16,2017-11-16,55.17
2017-11-17,2017-11-17,55.2
2017-11-20,2017-11-20,54.1
2017-11-21,2017-11-21,54.27
2017-11-22,2017-11-22,54.37
2017-11-24,2017-11-24,54.35
2017-11-27,2017-11-27,54.55
2017-11-28,2017-11-28,54.93
2017-11-29,2017-11-29,55.36
2017-11-30,2017-11-30,55.27
2017-12-01,2017-12-01,55.87
2017-12-04,2017-12-04,56.22
2017-12-05,2017-12-05,55.77
2017-12-06,2017-12-06,54.35
2017-12-07,2017-12-07,54.77
2017-12-08,2017-12-08,55.57
2017-12-11,2017-12-11,56.34
2017-12-12,2017-12-12,57.07
2017-12-13,2017-12-13,56.91
2017-12-14,2017-12-14,56.01
2017-12-15,2017-12-15,56.24
2017-12-18,2017-12-18,56.22
2017-12-19,2017-12-19,56.23
2017-12-20,2017-12-20,56.11
2017-12-21,2017-12-21,56.6
2017-12-22,2017-12-22,56.36
2017-12-26,2017-12-26,56.34
2017-12-27,2017-12-27,56.34
2017-12-28,2017-12-28,56.6
2017-12-29,2017-12-29,56.27
2018-01-02,2018-01-02,56.22
2018-01-03,2018-01-03,56.14
2018-01-04,2018-01-04,57.05
2018-01-05,2018-01-05,56.99
2018-01-08,2018-01-08,56.66
2018-01-09,2018-01-09,56.8
2018-01-10,2018-01-10,57.3
2018-01-11,2018-01-11,57.6
2018-01-12,2018-01-12,58.66
2018-01-16,2018-01-16,62.07
2018-01-17,2018-01-17,62.03
2018-01-18,2018-01-18,61.13
2018-01-19,2018-01-19,61.28
2018-01-22,2018-01-22,61.25
2018-01-23,2018-01-23,61.7
2018-01-24,2018-01-24,61.18
2018-01-25,2018-01-25,61.3
2018-01-26,2018-01-26,62.04
2018-01-29,2018-01-29,61.63
2018-01-30,2018-01-30,60.65
2018-01-31,2018-01-31,59.25
2018-02-01,2018-02-01,59.86
2018-02-02,2018-02-02,58.56
2018-02-05,2018-02-05,56.4
2018-02-06,2018-02-06,55.46
2018-02-07,2018-02-07,55.88
2018-02-08,2018-02-08,54.73
2018-02-09,2018-02-09,54.87
2018-02-12,2018-02-12,55.43
2018-02-13,2018-02-13,54.9
2018-02-14,2018-02-14,54.9
2018-02-15,2018-02-15,55.99
2018-02-16,2018-02-16,56.29
2018-02-20,2018-02-20,54.98
2018-02-21,2018-02-21,54.55
2018-02-22,2018-02-22,54.57
2018-02-23,2018-02-23,54.87
