DATE,DATE,CLOSE
2016-11-01,2016-11-01,82.02
2016-11-02,2016-11-02,81.59
2016-11-03,2016-11-03,80.38
2016-11-04,2016-11-04,80.28
2016-11-07,2016-11-07,82.62
2016-11-08,2016-11-08,84.72
2016-11-09,2016-11-09,86.12
2016-11-10,2016-11-10,88.07
2016-11-11,2016-11-11,89.69
2016-11-14,2016-11-14,91.06
2016-11-15,2016-11-15,91.34
2016-11-16,2016-11-16,91.31
2016-11-17,2016-11-17,91.45
2016-11-18,2016-11-18,91.47
2016-11-21,2016-11-21,91.67
2016-11-22,2016-11-22,91.22
2016-11-23,2016-11-23,92.92
2016-11-25,2016-11-25,93.94
2016-11-28,2016-11-28,93.12
2016-11-29,2016-11-29,93.52
2016-11-30,2016-11-30,95.37
2016-12-01,2016-12-01,97.05
2016-12-02,2016-12-02,96.33
2016-12-05,2016-12-05,97.67
2016-12-06,2016-12-06,98.1
2016-12-07,2016-12-07,99.96
2016-12-08,2016-12-08,100.68
2016-12-09,2016-12-09,99.29
2016-12-12,2016-12-12,99.14
2016-12-13,2016-12-13,99.01
2016-12-14,2016-12-14,98.61
2016-12-15,2016-12-15,98.01
2016-12-16,2016-12-16,97.0
2016-12-19,2016-12-19,97.86
2016-12-20,2016-12-20,98.0
2016-12-21,2016-12-21,97.01
2016-12-22,2016-12-22,97.16
2016-12-23,2016-12-23,97.47
2016-12-27,2016-12-27,98.01
2016-12-28,2016-12-28,97.08
2016-12-29,2016-12-29,97.34
2016-12-30,2016-12-30,97.07
2017-01-03,2017-01-03,96.77
2017-01-04,2017-01-04,97.82
2017-01-05,2017-01-05,97.19
2017-01-06,2017-01-06,97.69
2017-01-09,2017-01-09,96.87
2017-01-10,2017-01-10,97.72
2017-01-11,2017-01-11,98.72
2017-01-12,2017-01-12,99.05
2017-01-13,2017-01-13,99.28
2017-01-17,2017-01-17,97.98
2017-01-18,2017-01-18,98.03
2017-01-19,2017-01-19,94.36
2017-01-20,2017-01-20,94.52
2017-01-23,2017-01-23,94.5
2017-01-24,2017-01-24,96.48
2017-01-25,2017-01-25,98.54
2017-01-26,2017-01-26,98.76
2017-01-27,2017-01-27,98.87
2017-01-30,2017-01-30,98.93
2017-01-31,2017-01-31,99.08
2017-02-01,2017-02-01,98.32
2017-02-02,2017-02-02,97.24
2017-02-03,2017-02-03,99.66
2017-02-06,2017-02-06,99.52
2017-02-07,2017-02-07,98.51
2017-02-08,2017-02-08,98.19
2017-02-09,2017-02-09,98.82
2017-02-10,2017-02-10,100.37
2017-02-13,2017-02-13,100.36
2017-02-14,2017-02-14,99.5
2017-02-15,2017-02-15,100.67
2017-02-16,2017-02-16,100.71
2017-02-17,2017-02-17,101.04
2017-02-21,2017-02-21,100.82
2017-02-22,2017-02-22,98.34
2017-02-23,2017-02-23,97.31
2017-02-24,2017-02-24,99.82
2017-02-27,2017-02-27,100.12
2017-02-28,2017-02-28,98.17
2017-03-01,2017-03-01,100.14
2017-03-02,2017-03-02,97.85
2017-03-03,2017-03-03,97.85
2017-03-06,2017-03-06,98.55
2017-03-07,2017-03-07,96.6
2017-03-08,2017-03-08,96.77
2017-03-09,2017-03-09,96.18
2017-03-10,2017-03-10,96.65
2017-03-13,2017-03-13,95.25
2017-03-14,2017-03-14,94.44
2017-03-15,2017-03-15,95.09
2017-03-16,2017-03-16,94.46
2017-03-17,2017-03-17,93.95
2017-03-20,2017-03-20,92.91
2017-03-21,2017-03-21,91.61
2017-03-22,2017-03-22,91.7
2017-03-23,2017-03-23,90.81
2017-03-24,2017-03-24,90.27
2017-03-27,2017-03-27,90.55
2017-03-28,2017-03-28,92.34
2017-03-29,2017-03-29,91.16
2017-03-30,2017-03-30,91.9
2017-03-31,2017-03-31,91.74
2017-04-03,2017-04-03,90.38
