DATE,DATE,CLOSE
2016-11-01,2016-11-01,340.96
2016-11-02,2016-11-02,338.61
2016-11-03,2016-11-03,341.14
2016-11-04,2016-11-04,345.8
2016-11-07,2016-11-07,357.64
2016-11-08,2016-11-08,353.49
2016-11-09,2016-11-09,364.42
2016-11-10,2016-11-10,375.01
2016-11-11,2016-11-11,371.19
2016-11-14,2016-11-14,373.81
2016-11-15,2016-11-15,372.15
2016-11-16,2016-11-16,367.45
2016-11-17,2016-11-17,371.37
2016-11-18,2016-11-18,372.78
2016-11-21,2016-11-21,374.57
2016-11-22,2016-11-22,373.06
2016-11-23,2016-11-23,372.99
2016-11-25,2016-11-25,373.67
2016-11-28,2016-11-28,368.65
2016-11-29,2016-11-29,368.55
2016-11-30,2016-11-30,370.79
2016-12-01,2016-12-01,377.2
2016-12-02,2016-12-02,371.36
2016-12-05,2016-12-05,374.35
2016-12-06,2016-12-06,373.97
2016-12-07,2016-12-07,379.81
2016-12-08,2016-12-08,390.33
2016-12-09,2016-12-09,388.54
2016-12-12,2016-12-12,390.28
2016-12-13,2016-12-13,392.64
2016-12-14,2016-12-14,390.0
2016-12-15,2016-12-15,393.75
2016-12-16,2016-12-16,392.62
2016-12-19,2016-12-19,389.77
2016-12-20,2016-12-20,398.45
2016-12-21,2016-12-21,393.53
2016-12-22,2016-12-22,387.12
2016-12-23,2016-12-23,385.74
2016-12-27,2016-12-27,387.49
2016-12-28,2016-12-28,381.03
2016-12-29,2016-12-29,379.0
2016-12-30,2016-12-30,380.54
2017-01-03,2017-01-03,386.43
2017-01-04,2017-01-04,386.66
2017-01-05,2017-01-05,382.54
2017-01-06,2017-01-06,384.3
2017-01-09,2017-01-09,380.42
2017-01-10,2017-01-10,380.31
2017-01-11,2017-01-11,380.95
2017-01-12,2017-01-12,378.29
2017-01-13,2017-01-13,379.35
2017-01-17,2017-01-17,374.8
2017-01-18,2017-01-18,378.0
2017-01-19,2017-01-19,377.35
2017-01-20,2017-01-20,381.4
2017-01-23,2017-01-23,378.06
2017-01-24,2017-01-24,381.38
2017-01-25,2017-01-25,388.33
2017-01-26,2017-01-26,379.42
2017-01-27,2017-01-27,375.06
2017-01-30,2017-01-30,375.18
2017-01-31,2017-01-31,373.98
2017-02-01,2017-02-01,373.0
2017-02-02,2017-02-02,371.64
2017-02-03,2017-02-03,378.0
2017-02-06,2017-02-06,377.42
2017-02-07,2017-02-07,376.89
2017-02-08,2017-02-08,374.56
2017-02-09,2017-02-09,378.57
2017-02-10,2017-02-10,382.89
2017-02-13,2017-02-13,385.83
2017-02-14,2017-02-14,384.98
2017-02-15,2017-02-15,393.04
2017-02-16,2017-02-16,391.97
2017-02-17,2017-02-17,388.76
2017-02-21,2017-02-21,390.1
2017-02-22,2017-02-22,390.71
2017-02-23,2017-02-23,390.61
2017-02-24,2017-02-24,389.16
2017-02-27,2017-02-27,391.0
2017-02-28,2017-02-28,387.46
2017-03-01,2017-03-01,397.81
2017-03-02,2017-03-02,391.65
2017-03-03,2017-03-03,390.17
2017-03-06,2017-03-06,387.66
2017-03-07,2017-03-07,385.35
2017-03-08,2017-03-08,384.55
2017-03-09,2017-03-09,384.27
2017-03-10,2017-03-10,384.58
2017-03-13,2017-03-13,384.89
2017-03-14,2017-03-14,383.29
2017-03-15,2017-03-15,388.22
2017-03-16,2017-03-16,390.0
2017-03-17,2017-03-17,382.85
2017-03-20,2017-03-20,380.45
2017-03-21,2017-03-21,375.16
2017-03-22,2017-03-22,375.47
2017-03-23,2017-03-23,375.4
2017-03-24,2017-03-24,374.41
2017-03-27,2017-03-27,375.0
2017-03-28,2017-03-28,380.63
2017-03-29,2017-03-29,379.41
2017-03-30,2017-03-30,383.04
2017-03-31,2017-03-31,383.51
2017-04-03,2017-04-03,382.09
2017-04-04,2017-04-04,380.8
2017-04-05,2017-04-05,380.91
2017-04-06,2017-04-06,384.1
2017-04-07,2017-04-07,386.02
2017-04-10,2017-04-10,385.89
2017-04-11,2017-04-11,384.05
2017-04-12,2017-04-12,381.44
2017-04-13,2017-04-13,379.0
2017-04-17,2017-04-17,383.8
2017-04-18,2017-04-18,383.61
2017-04-19,2017-04-19,377.1
2017-04-20,2017-04-20,381.59
2017-04-21,2017-04-21,378.06
2017-04-24,2017-04-24,386.65
2017-04-25,2017-04-25,388.19
2017-04-26,2017-04-26,388.87
2017-04-27,2017-04-27,390.71
2017-04-28,2017-04-28,384.57
2017-05-01,2017-05-01,383.0
2017-05-02,2017-05-02,384.5
2017-05-03,2017-05-03,384.29
2017-05-04,2017-05-04,383.31
2017-05-05,2017-05-05,383.76
2017-05-08,2017-05-08,382.38
2017-05-09,2017-05-09,380.5
2017-05-10,2017-05-10,382.27
2017-05-11,2017-05-11,382.87
2017-05-12,2017-05-12,385.12
2017-05-15,2017-05-15,389.36
2017-05-16,2017-05-16,391.3
2017-05-17,2017-05-17,383.67
2017-05-18,2017-05-18,388.48
2017-05-19,2017-05-19,393.32
2017-05-22,2017-05-22,396.28
2017-05-23,2017-05-23,395.97
2017-05-24,2017-05-24,396.31
2017-05-25,2017-05-25,406.36
2017-05-26,2017-05-26,407.02
