DATE,DATE,CLOSE
2016-11-01,2016-11-01,54.08
2016-11-02,2016-11-02,53.44
2016-11-03,2016-11-03,53.38
2016-11-04,2016-11-04,53.18
2016-11-07,2016-11-07,54.29
2016-11-08,2016-11-08,55.03
2016-11-09,2016-11-09,53.23
2016-11-10,2016-11-10,52.34
2016-11-11,2016-11-11,51.95
2016-11-14,2016-11-14,51.69
2016-11-15,2016-11-15,52.43
2016-11-16,2016-11-16,51.97
2016-11-17,2016-11-17,52.2
2016-11-18,2016-11-18,51.82
2016-11-21,2016-11-21,52.2
2016-11-22,2016-11-22,52.45
2016-11-23,2016-11-23,51.74
2016-11-25,2016-11-25,52.59
2016-11-28,2016-11-28,53.84
2016-11-29,2016-11-29,53.75
2016-11-30,2016-11-30,51.62
2016-12-01,2016-12-01,51.1
2016-12-02,2016-12-02,51.68
2016-12-05,2016-12-05,51.93
2016-12-06,2016-12-06,52.01
2016-12-07,2016-12-07,52.97
2016-12-08,2016-12-08,53.3
2016-12-09,2016-12-09,53.76
2016-12-12,2016-12-12,54.29
2016-12-13,2016-12-13,54.55
2016-12-14,2016-12-14,53.07
2016-12-15,2016-12-15,53.68
2016-12-16,2016-12-16,54.57
2016-12-19,2016-12-19,55.07
2016-12-20,2016-12-20,55.26
2016-12-21,2016-12-21,54.95
2016-12-22,2016-12-22,55.44
2016-12-23,2016-12-23,55.46
2016-12-27,2016-12-27,55.38
2016-12-28,2016-12-28,54.72
2016-12-29,2016-12-29,55.57
2016-12-30,2016-12-30,55.23
2017-01-03,2017-01-03,55.08
2017-01-04,2017-01-04,55.27
2017-01-05,2017-01-05,55.28
2017-01-06,2017-01-06,55.26
2017-01-09,2017-01-09,54.57
2017-01-10,2017-01-10,54.28
2017-01-11,2017-01-11,55.06
2017-01-12,2017-01-12,55.31
2017-01-13,2017-01-13,55.15
2017-01-17,2017-01-17,55.72
2017-01-18,2017-01-18,55.52
2017-01-19,2017-01-19,55.07
2017-01-20,2017-01-20,55.0
2017-01-23,2017-01-23,54.74
2017-01-24,2017-01-24,54.55
2017-01-25,2017-01-25,54.3
2017-01-26,2017-01-26,54.53
2017-01-27,2017-01-27,54.25
2017-01-30,2017-01-30,54.43
2017-01-31,2017-01-31,55.32
2017-02-01,2017-02-01,54.7
2017-02-02,2017-02-02,55.35
2017-02-03,2017-02-03,55.72
2017-02-06,2017-02-06,55.68
2017-02-07,2017-02-07,55.78
2017-02-08,2017-02-08,56.49
2017-02-09,2017-02-09,56.05
2017-02-10,2017-02-10,56.42
2017-02-13,2017-02-13,56.49
2017-02-14,2017-02-14,55.95
2017-02-15,2017-02-15,55.76
2017-02-16,2017-02-16,56.29
2017-02-17,2017-02-17,56.15
2017-02-21,2017-02-21,56.84
2017-02-22,2017-02-22,57.6
2017-02-23,2017-02-23,58.12
2017-02-24,2017-02-24,59.03
2017-02-27,2017-02-27,58.72
2017-02-28,2017-02-28,58.66
2017-03-01,2017-03-01,58.19
2017-03-02,2017-03-02,58.59
2017-03-03,2017-03-03,58.28
2017-03-06,2017-03-06,58.35
2017-03-07,2017-03-07,58.56
2017-03-08,2017-03-08,57.52
2017-03-09,2017-03-09,57.38
2017-03-10,2017-03-10,57.71
2017-03-13,2017-03-13,58.04
2017-03-14,2017-03-14,58.33
2017-03-15,2017-03-15,59.13
2017-03-16,2017-03-16,58.54
2017-03-17,2017-03-17,58.93
2017-03-20,2017-03-20,58.48
2017-03-21,2017-03-21,59.44
2017-03-22,2017-03-22,59.71
2017-03-23,2017-03-23,59.67
2017-03-24,2017-03-24,60.01
2017-03-27,2017-03-27,59.55
2017-03-28,2017-03-28,59.49
2017-03-29,2017-03-29,59.07
2017-03-30,2017-03-30,58.62
2017-03-31,2017-03-31,58.78
2017-04-03,2017-04-03,58.89
2017-04-04,2017-04-04,58.86
2017-04-05,2017-04-05,59.41
2017-04-06,2017-04-06,59.54
2017-04-07,2017-04-07,59.4
2017-04-10,2017-04-10,59.28
2017-04-11,2017-04-11,59.21
2017-04-12,2017-04-12,59.88
2017-04-13,2017-04-13,59.62
2017-04-17,2017-04-17,60.29
2017-04-18,2017-04-18,60.14
2017-04-19,2017-04-19,59.64
2017-04-20,2017-04-20,59.44
2017-04-21,2017-04-21,59.8
2017-04-24,2017-04-24,60.03
2017-04-25,2017-04-25,60.0
2017-04-26,2017-04-26,59.74
2017-04-27,2017-04-27,59.77
2017-04-28,2017-04-28,59.4
2017-05-01,2017-05-01,59.14
2017-05-02,2017-05-02,59.22
2017-05-03,2017-05-03,59.11
2017-05-04,2017-05-04,59.49
2017-05-05,2017-05-05,59.55
2017-05-08,2017-05-08,59.76
2017-05-09,2017-05-09,59.35
2017-05-10,2017-05-10,59.23
2017-05-11,2017-05-11,59.48
2017-05-12,2017-05-12,59.88
2017-05-15,2017-05-15,60.15
2017-05-16,2017-05-16,59.63
2017-05-17,2017-05-17,60.19
2017-05-18,2017-05-18,60.24
2017-05-19,2017-05-19,60.11
2017-05-22,2017-05-22,60.74
2017-05-23,2017-05-23,61.14
2017-05-24,2017-05-24,61.41
2017-05-25,2017-05-25,61.84
2017-05-26,2017-05-26,61.4
2017-05-30,2017-05-30,61.48
2017-05-31,2017-05-31,62.07
2017-06-01,2017-06-01,62.35
2017-06-02,2017-06-02,62.37
2017-06-05,2017-06-05,62.29
2017-06-06,2017-06-06,62.16
2017-06-07,2017-06-07,62.58
2017-06-08,2017-06-08,62.11
2017-06-09,2017-06-09,62.3
2017-06-12,2017-06-12,62.25
2017-06-13,2017-06-13,62.16
2017-06-14,2017-06-14,62.45
2017-06-15,2017-06-15,62.62
2017-06-16,2017-06-16,63.24
2017-06-19,2017-06-19,62.79
2017-06-20,2017-06-20,62.85
2017-06-21,2017-06-21,62.72
2017-06-22,2017-06-22,62.2
2017-06-23,2017-06-23,62.25
2017-06-26,2017-06-26,62.66
2017-06-27,2017-06-27,61.99
2017-06-28,2017-06-28,61.23
2017-06-29,2017-06-29,60.7
2017-06-30,2017-06-30,60.71
2017-07-03,2017-07-03,60.41
2017-07-05,2017-07-05,60.07
2017-07-06,2017-07-06,59.99
2017-07-07,2017-07-07,60.07
2017-07-10,2017-07-10,59.91
2017-07-11,2017-07-11,59.82
2017-07-12,2017-07-12,60.02
2017-07-13,2017-07-13,59.9
2017-07-14,2017-07-14,60.22
2017-07-17,2017-07-17,60.32
2017-07-18,2017-07-18,60.44
2017-07-19,2017-07-19,60.67
2017-07-20,2017-07-20,61.21
2017-07-21,2017-07-21,61.54
2017-07-24,2017-07-24,60.74
2017-07-25,2017-07-25,60.48
2017-07-26,2017-07-26,60.94
2017-07-27,2017-07-27,60.71
2017-07-28,2017-07-28,60.53
2017-07-31,2017-07-31,60.79
2017-08-01,2017-08-01,60.89
2017-08-02,2017-08-02,61.06
2017-08-03,2017-08-03,61.88
2017-08-04,2017-08-04,61.58
2017-08-07,2017-08-07,62.05
2017-08-08,2017-08-08,62.31
2017-08-09,2017-08-09,61.73
2017-08-10,2017-08-10,62.22
2017-08-11,2017-08-11,61.86
2017-08-14,2017-08-14,62.17
2017-08-15,2017-08-15,62.57
2017-08-16,2017-08-16,62.8
2017-08-17,2017-08-17,62.46
2017-08-18,2017-08-18,63.06
2017-08-21,2017-08-21,62.97
2017-08-22,2017-08-22,62.91
2017-08-23,2017-08-23,63.14
2017-08-24,2017-08-24,62.97
2017-08-25,2017-08-25,63.08
2017-08-28,2017-08-28,63.27
2017-08-29,2017-08-29,63.29
2017-08-30,2017-08-30,63.24
2017-08-31,2017-08-31,63.0
2017-09-01,2017-09-01,62.57
2017-09-05,2017-09-05,62.95
2017-09-06,2017-09-06,62.61
2017-09-07,2017-09-07,63.2
2017-09-08,2017-09-08,63.49
2017-09-11,2017-09-11,64.11
2017-09-12,2017-09-12,62.64
2017-09-13,2017-09-13,62.37
2017-09-14,2017-09-14,63.05
2017-09-15,2017-09-15,62.86
2017-09-18,2017-09-18,61.69
2017-09-19,2017-09-19,61.77
2017-09-20,2017-09-20,61.48
2017-09-21,2017-09-21,61.44
2017-09-22,2017-09-22,60.71
2017-09-25,2017-09-25,61.47
2017-09-26,2017-09-26,61.34
2017-09-27,2017-09-27,60.43
2017-09-28,2017-09-28,60.57
2017-09-29,2017-09-29,60.44
2017-10-02,2017-10-02,60.38
2017-10-03,2017-10-03,60.21
2017-10-04,2017-10-04,60.79
2017-10-05,2017-10-05,60.63
2017-10-06,2017-10-06,60.38
2017-10-09,2017-10-09,60.32
2017-10-10,2017-10-10,60.66
2017-10-11,2017-10-11,61.3
2017-10-12,2017-10-12,61.67
2017-10-13,2017-10-13,61.65
2017-10-16,2017-10-16,61.2
2017-10-17,2017-10-17,61.74
2017-10-18,2017-10-18,61.44
2017-10-19,2017-10-19,62.06
2017-10-20,2017-10-20,62.13
2017-10-23,2017-10-23,62.37
2017-10-24,2017-10-24,62.42
2017-10-25,2017-10-25,62.33
2017-10-26,2017-10-26,62.24
2017-10-27,2017-10-27,62.79
2017-10-30,2017-10-30,62.49
2017-10-31,2017-10-31,62.64
2017-11-01,2017-11-01,62.68
2017-11-02,2017-11-02,63.23
2017-11-03,2017-11-03,63.54
2017-11-06,2017-11-06,63.7
2017-11-07,2017-11-07,64.52
2017-11-08,2017-11-08,64.63
2017-11-09,2017-11-09,64.68
2017-11-10,2017-11-10,64.07
2017-11-13,2017-11-13,64.76
2017-11-14,2017-11-14,65.81
2017-11-15,2017-11-15,65.0
2017-11-16,2017-11-16,64.89
2017-11-17,2017-11-17,64.21
2017-11-20,2017-11-20,63.84
2017-11-21,2017-11-21,63.93
2017-11-22,2017-11-22,63.81
2017-11-24,2017-11-24,64.33
2017-11-27,2017-11-27,64.42
2017-11-28,2017-11-28,64.56
2017-11-29,2017-11-29,64.61
2017-11-30,2017-11-30,64.85
2017-12-01,2017-12-01,65.43
2017-12-04,2017-12-04,65.48
2017-12-05,2017-12-05,64.88
2017-12-06,2017-12-06,65.11
2017-12-07,2017-12-07,64.91
2017-12-08,2017-12-08,65.22
2017-12-11,2017-12-11,65.7
2017-12-12,2017-12-12,64.21
2017-12-13,2017-12-13,65.08
2017-12-14,2017-12-14,64.78
2017-12-15,2017-12-15,64.62
2017-12-18,2017-12-18,63.91
2017-12-19,2017-12-19,62.59
2017-12-20,2017-12-20,62.22
2017-12-21,2017-12-21,61.98
2017-12-22,2017-12-22,62.37
2017-12-26,2017-12-26,61.96
2017-12-27,2017-12-27,62.53
2017-12-28,2017-12-28,62.95
2017-12-29,2017-12-29,63.18
2018-01-02,2018-01-02,63.15
2018-01-03,2018-01-03,62.59
2018-01-04,2018-01-04,61.71
2018-01-05,2018-01-05,61.82
2018-01-08,2018-01-08,62.25
2018-01-09,2018-01-09,61.78
2018-01-10,2018-01-10,61.32
2018-01-11,2018-01-11,61.52
2018-01-12,2018-01-12,61.35
2018-01-16,2018-01-16,60.95
2018-01-17,2018-01-17,61.65
2018-01-18,2018-01-18,60.81
2018-01-19,2018-01-19,60.79
2018-01-22,2018-01-22,60.76
2018-01-23,2018-01-23,61.12
2018-01-24,2018-01-24,61.13
2018-01-25,2018-01-25,64.57
2018-01-26,2018-01-26,64.07
2018-01-29,2018-01-29,62.44
2018-01-30,2018-01-30,62.56
2018-01-31,2018-01-31,63.09
2018-02-01,2018-02-01,60.16
2018-02-02,2018-02-02,59.35
2018-02-05,2018-02-05,58.33
2018-02-06,2018-02-06,57.54
2018-02-07,2018-02-07,56.89
2018-02-08,2018-02-08,56.11
2018-02-09,2018-02-09,57.02
2018-02-12,2018-02-12,57.53
2018-02-13,2018-02-13,57.62
2018-02-14,2018-02-14,57.58
2018-02-15,2018-02-15,58.57
2018-02-16,2018-02-16,59.12
2018-02-20,2018-02-20,58.17
2018-02-21,2018-02-21,57.36
2018-02-22,2018-02-22,57.48
2018-02-23,2018-02-23,59.47
2018-02-26,2018-02-26,58.82
2018-02-27,2018-02-27,57.39
2018-02-28,2018-02-28,57.0
2018-03-01,2018-03-01,56.55
2018-03-02,2018-03-02,57.1
2018-03-05,2018-03-05,57.72
2018-03-06,2018-03-06,56.68
2018-03-07,2018-03-07,56.29
2018-03-08,2018-03-08,56.87
2018-03-09,2018-03-09,57.24
2018-03-12,2018-03-12,57.06
2018-03-13,2018-03-13,56.68
2018-03-14,2018-03-14,57.19
2018-03-15,2018-03-15,57.58
2018-03-16,2018-03-16,58.26
2018-03-19,2018-03-19,58.04
2018-03-20,2018-03-20,57.67
2018-03-21,2018-03-21,57.46
2018-03-22,2018-03-22,57.51
2018-03-23,2018-03-23,56.79
2018-03-26,2018-03-26,57.53
2018-03-27,2018-03-27,58.59
2018-03-28,2018-03-28,58.47
2018-03-29,2018-03-29,58.92
2018-04-02,2018-04-02,58.67
2018-04-03,2018-04-03,59.3
2018-04-04,2018-04-04,59.53
2018-04-05,2018-04-05,60.01
2018-04-06,2018-04-06,59.65
2018-04-09,2018-04-09,59.71
2018-04-10,2018-04-10,59.31
2018-04-11,2018-04-11,59.41
2018-04-12,2018-04-12,58.64
2018-04-13,2018-04-13,59.03
2018-04-16,2018-04-16,59.68
2018-04-17,2018-04-17,60.24
2018-04-18,2018-04-18,59.9
2018-04-19,2018-04-19,59.86
2018-04-20,2018-04-20,59.22
2018-04-23,2018-04-23,59.21
2018-04-24,2018-04-24,59.44
2018-04-25,2018-04-25,59.37
2018-04-26,2018-04-26,60.02
2018-04-27,2018-04-27,60.62
2018-04-30,2018-04-30,60.25
2018-05-01,2018-05-01,59.75
