DATE,DATE,CLOSE
2016-11-01,2016-11-01,68.32
2016-11-02,2016-11-02,68.4
2016-11-03,2016-11-03,69.24
2016-11-04,2016-11-04,69.61
2016-11-07,2016-11-07,71.1
2016-11-08,2016-11-08,73.02
2016-11-09,2016-11-09,74.08
2016-11-10,2016-11-10,73.42
2016-11-11,2016-11-11,73.39
2016-11-14,2016-11-14,77.24
2016-11-15,2016-11-15,77.71
2016-11-16,2016-11-16,77.57
2016-11-17,2016-11-17,77.47
2016-11-18,2016-11-18,77.14
2016-11-21,2016-11-21,77.29
2016-11-22,2016-11-22,77.85
2016-11-23,2016-11-23,78.08
2016-11-25,2016-11-25,78.52
2016-11-28,2016-11-28,78.07
2016-11-29,2016-11-29,79.11
2016-11-30,2016-11-30,78.78
2016-12-01,2016-12-01,79.82
2016-12-02,2016-12-02,79.2
2016-12-05,2016-12-05,81.0
2016-12-06,2016-12-06,82.08
2016-12-07,2016-12-07,83.92
2016-12-08,2016-12-08,83.49
2016-12-09,2016-12-09,83.55
2016-12-12,2016-12-12,83.91
2016-12-13,2016-12-13,84.4
2016-12-14,2016-12-14,83.94
2016-12-15,2016-12-15,84.33
2016-12-16,2016-12-16,86.05
2016-12-19,2016-12-19,84.86
2016-12-20,2016-12-20,85.1
2016-12-21,2016-12-21,84.85
2016-12-22,2016-12-22,83.73
2016-12-23,2016-12-23,84.09
2016-12-27,2016-12-27,84.14
2016-12-28,2016-12-28,83.36
2016-12-29,2016-12-29,83.32
2016-12-30,2016-12-30,82.68
2017-01-03,2017-01-03,82.5
2017-01-04,2017-01-04,82.34
2017-01-05,2017-01-05,81.78
2017-01-06,2017-01-06,82.3
2017-01-09,2017-01-09,82.25
2017-01-10,2017-01-10,81.93
2017-01-11,2017-01-11,82.84
2017-01-12,2017-01-12,81.89
2017-01-13,2017-01-13,82.64
2017-01-17,2017-01-17,82.38
2017-01-18,2017-01-18,83.0
2017-01-19,2017-01-19,84.53
2017-01-20,2017-01-20,84.38
2017-01-23,2017-01-23,84.37
2017-01-24,2017-01-24,84.51
2017-01-25,2017-01-25,85.61
2017-01-26,2017-01-26,85.84
2017-01-27,2017-01-27,86.08
2017-01-30,2017-01-30,85.26
2017-01-31,2017-01-31,84.6
2017-02-01,2017-02-01,84.64
2017-02-02,2017-02-02,84.5
2017-02-03,2017-02-03,85.45
2017-02-06,2017-02-06,85.65
2017-02-07,2017-02-07,85.81
2017-02-08,2017-02-08,86.36
2017-02-09,2017-02-09,86.79
2017-02-10,2017-02-10,86.45
2017-02-13,2017-02-13,87.38
2017-02-14,2017-02-14,87.89
2017-02-15,2017-02-15,89.46
2017-02-16,2017-02-16,89.44
2017-02-17,2017-02-17,89.36
2017-02-21,2017-02-21,87.99
2017-02-22,2017-02-22,87.68
2017-02-23,2017-02-23,87.0
2017-02-24,2017-02-24,87.08
2017-02-27,2017-02-27,87.45
2017-02-28,2017-02-28,86.99
2017-03-01,2017-03-01,88.49
2017-03-02,2017-03-02,87.52
2017-03-03,2017-03-03,86.79
2017-03-06,2017-03-06,86.72
2017-03-07,2017-03-07,86.15
2017-03-08,2017-03-08,86.39
2017-03-09,2017-03-09,86.31
2017-03-10,2017-03-10,86.62
2017-03-13,2017-03-13,87.03
2017-03-14,2017-03-14,86.27
2017-03-15,2017-03-15,87.82
2017-03-16,2017-03-16,88.06
2017-03-17,2017-03-17,88.33
2017-03-20,2017-03-20,88.68
2017-03-21,2017-03-21,89.1
2017-03-22,2017-03-22,92.14
2017-03-23,2017-03-23,93.14
2017-03-24,2017-03-24,93.5
2017-03-27,2017-03-27,93.17
2017-03-28,2017-03-28,94.49
2017-03-29,2017-03-29,94.59
2017-03-30,2017-03-30,94.64
2017-03-31,2017-03-31,94.18
2017-04-03,2017-04-03,92.75
2017-04-04,2017-04-04,92.47
2017-04-05,2017-04-05,91.96
2017-04-06,2017-04-06,91.77
2017-04-07,2017-04-07,91.21
2017-04-10,2017-04-10,91.06
2017-04-11,2017-04-11,91.4
2017-04-12,2017-04-12,91.75
2017-04-13,2017-04-13,91.55
2017-04-17,2017-04-17,91.95
2017-04-18,2017-04-18,92.02
2017-04-19,2017-04-19,91.49
2017-04-20,2017-04-20,92.77
2017-04-21,2017-04-21,92.47
2017-04-24,2017-04-24,93.52
2017-04-25,2017-04-25,94.57
2017-04-26,2017-04-26,96.3
2017-04-27,2017-04-27,95.74
2017-04-28,2017-04-28,94.42
2017-05-01,2017-05-01,95.58
2017-05-02,2017-05-02,97.1
2017-05-03,2017-05-03,96.99
2017-05-04,2017-05-04,96.88
2017-05-05,2017-05-05,97.05
2017-05-08,2017-05-08,96.37
2017-05-09,2017-05-09,102.5
2017-05-10,2017-05-10,103.24
2017-05-11,2017-05-11,102.82
2017-05-12,2017-05-12,102.45
2017-05-15,2017-05-15,104.06
2017-05-16,2017-05-16,103.99
2017-05-17,2017-05-17,102.11
2017-05-18,2017-05-18,102.53
2017-05-19,2017-05-19,102.82
2017-05-22,2017-05-22,104.22
2017-05-23,2017-05-23,105.49
2017-05-24,2017-05-24,105.88
2017-05-25,2017-05-25,106.53
2017-05-26,2017-05-26,106.9
2017-05-30,2017-05-30,106.74
2017-05-31,2017-05-31,107.65
2017-06-01,2017-06-01,108.68
2017-06-02,2017-06-02,110.06
2017-06-05,2017-06-05,108.19
2017-06-06,2017-06-06,104.99
2017-06-07,2017-06-07,105.12
2017-06-08,2017-06-08,105.08
2017-06-09,2017-06-09,102.42
2017-06-12,2017-06-12,102.07
2017-06-13,2017-06-13,103.88
2017-06-14,2017-06-14,103.91
2017-06-15,2017-06-15,104.74
2017-06-16,2017-06-16,104.5
2017-06-19,2017-06-19,105.93
2017-06-20,2017-06-20,104.19
2017-06-21,2017-06-21,104.13
2017-06-22,2017-06-22,103.89
2017-06-23,2017-06-23,104.06
2017-06-26,2017-06-26,103.93
2017-06-27,2017-06-27,101.03
2017-06-28,2017-06-28,101.98
2017-06-29,2017-06-29,100.21
2017-06-30,2017-06-30,100.31
2017-07-03,2017-07-03,100.11
2017-07-05,2017-07-05,101.17
2017-07-06,2017-07-06,99.65
2017-07-07,2017-07-07,100.35
2017-07-10,2017-07-10,100.71
2017-07-11,2017-07-11,100.73
2017-07-12,2017-07-12,100.8
2017-07-13,2017-07-13,100.7
2017-07-14,2017-07-14,100.99
2017-07-17,2017-07-17,101.35
2017-07-18,2017-07-18,102.0
2017-07-19,2017-07-19,102.24
2017-07-20,2017-07-20,102.4
2017-07-21,2017-07-21,102.85
2017-07-24,2017-07-24,102.71
2017-07-25,2017-07-25,103.06
2017-07-26,2017-07-26,103.04
2017-07-27,2017-07-27,104.06
2017-07-28,2017-07-28,103.34
2017-07-31,2017-07-31,104.19
2017-08-01,2017-08-01,105.13
2017-08-02,2017-08-02,103.49
2017-08-03,2017-08-03,103.66
2017-08-04,2017-08-04,105.02
2017-08-07,2017-08-07,106.17
2017-08-08,2017-08-08,103.95
2017-08-09,2017-08-09,101.35
2017-08-10,2017-08-10,99.52
2017-08-11,2017-08-11,99.4
2017-08-14,2017-08-14,100.07
2017-08-15,2017-08-15,100.4
2017-08-16,2017-08-16,100.3
2017-08-17,2017-08-17,97.84
2017-08-18,2017-08-18,98.03
2017-08-21,2017-08-21,99.08
2017-08-22,2017-08-22,102.0
2017-08-23,2017-08-23,100.43
2017-08-24,2017-08-24,99.95
2017-08-25,2017-08-25,100.66
2017-08-28,2017-08-28,100.71
2017-08-29,2017-08-29,100.23
2017-08-30,2017-08-30,103.64
2017-08-31,2017-08-31,103.58
2017-09-01,2017-09-01,103.8
2017-09-05,2017-09-05,102.28
2017-09-06,2017-09-06,101.8
2017-09-07,2017-09-07,101.76
2017-09-08,2017-09-08,103.43
2017-09-11,2017-09-11,104.63
2017-09-12,2017-09-12,105.08
2017-09-13,2017-09-13,106.77
2017-09-14,2017-09-14,106.39
2017-09-15,2017-09-15,105.39
2017-09-18,2017-09-18,105.54
2017-09-19,2017-09-19,107.35
2017-09-20,2017-09-20,107.69
2017-09-21,2017-09-21,107.57
2017-09-22,2017-09-22,107.88
2017-09-25,2017-09-25,108.87
2017-09-26,2017-09-26,108.07
2017-09-27,2017-09-27,108.36
2017-09-28,2017-09-28,110.0
2017-09-29,2017-09-29,110.26
2017-10-02,2017-10-02,110.53
2017-10-03,2017-10-03,109.4
2017-10-04,2017-10-04,108.82
2017-10-05,2017-10-05,111.27
2017-10-06,2017-10-06,111.76
2017-10-09,2017-10-09,112.76
2017-10-10,2017-10-10,114.08
2017-10-11,2017-10-11,114.13
2017-10-12,2017-10-12,114.46
2017-10-13,2017-10-13,115.11
2017-10-16,2017-10-16,114.75
2017-10-17,2017-10-17,115.04
2017-10-18,2017-10-18,115.77
2017-10-19,2017-10-19,115.2
2017-10-20,2017-10-20,115.02
2017-10-23,2017-10-23,115.31
2017-10-24,2017-10-24,116.81
2017-10-25,2017-10-25,116.33
2017-10-26,2017-10-26,118.81
2017-10-27,2017-10-27,118.87
2017-10-30,2017-10-30,118.52
2017-10-31,2017-10-31,119.48
2017-11-01,2017-11-01,120.16
2017-11-02,2017-11-02,119.64
2017-11-03,2017-11-03,121.55
2017-11-06,2017-11-06,121.98
2017-11-07,2017-11-07,120.89
2017-11-08,2017-11-08,119.98
2017-11-09,2017-11-09,118.81
2017-11-10,2017-11-10,120.11
2017-11-13,2017-11-13,120.39
2017-11-14,2017-11-14,123.06
2017-11-15,2017-11-15,122.26
2017-11-16,2017-11-16,124.38
2017-11-17,2017-11-17,125.48
2017-11-20,2017-11-20,125.91
2017-11-21,2017-11-21,127.62
2017-11-22,2017-11-22,126.39
2017-11-24,2017-11-24,126.5
2017-11-27,2017-11-27,126.93
2017-11-28,2017-11-28,126.9
2017-11-29,2017-11-29,126.49
2017-11-30,2017-11-30,127.0
2017-12-01,2017-12-01,126.86
2017-12-04,2017-12-04,127.73
2017-12-05,2017-12-05,127.53
2017-12-06,2017-12-06,127.3
2017-12-07,2017-12-07,127.85
2017-12-08,2017-12-08,129.32
2017-12-11,2017-12-11,128.57
2017-12-12,2017-12-12,128.76
2017-12-13,2017-12-13,128.47
2017-12-14,2017-12-14,127.72
2017-12-15,2017-12-15,129.82
2017-12-18,2017-12-18,133.34
2017-12-19,2017-12-19,133.14
2017-12-20,2017-12-20,133.84
2017-12-21,2017-12-21,133.95
2017-12-22,2017-12-22,133.97
2017-12-26,2017-12-26,133.3
2017-12-27,2017-12-27,136.25
2017-12-28,2017-12-28,136.57
2017-12-29,2017-12-29,135.73
2018-01-02,2018-01-02,133.75
2018-01-03,2018-01-03,136.45
2018-01-04,2018-01-04,135.7
2018-01-05,2018-01-05,134.4
2018-01-08,2018-01-08,136.34
2018-01-09,2018-01-09,137.71
2018-01-10,2018-01-10,137.7
2018-01-11,2018-01-11,139.43
2018-01-12,2018-01-12,139.78
2018-01-16,2018-01-16,139.12
2018-01-17,2018-01-17,142.0
2018-01-18,2018-01-18,141.13
2018-01-19,2018-01-19,144.07
2018-01-22,2018-01-22,143.81
2018-01-23,2018-01-23,145.8
2018-01-24,2018-01-24,144.39
2018-01-25,2018-01-25,145.5
2018-01-26,2018-01-26,147.14
2018-01-29,2018-01-29,147.99
2018-01-30,2018-01-30,147.27
2018-01-31,2018-01-31,147.34
2018-02-01,2018-02-01,147.52
2018-02-02,2018-02-02,141.17
2018-02-05,2018-02-05,136.34
2018-02-06,2018-02-06,140.03
2018-02-07,2018-02-07,139.64
