DATE,DATE,CLOSE
2016-11-01,2016-11-01,51.5
2016-11-02,2016-11-02,51.41
2016-11-03,2016-11-03,51.65
2016-11-04,2016-11-04,52.08
2016-11-07,2016-11-07,54.75
2016-11-08,2016-11-08,54.89
2016-11-09,2016-11-09,53.01
2016-11-10,2016-11-10,53.81
2016-11-11,2016-11-11,53.95
2016-11-14,2016-11-14,53.95
2016-11-15,2016-11-15,54.17
2016-11-16,2016-11-16,55.33
2016-11-17,2016-11-17,56.38
2016-11-18,2016-11-18,55.57
2016-11-21,2016-11-21,55.1
2016-11-22,2016-11-22,53.18
2016-11-23,2016-11-23,51.86
2016-11-25,2016-11-25,53.25
2016-11-28,2016-11-28,56.95
2016-11-29,2016-11-29,55.63
2016-11-30,2016-11-30,55.08
2016-12-01,2016-12-01,54.08
2016-12-02,2016-12-02,54.02
2016-12-05,2016-12-05,54.76
2016-12-06,2016-12-06,55.3
2016-12-07,2016-12-07,57.1
2016-12-08,2016-12-08,56.17
2016-12-09,2016-12-09,55.84
2016-12-12,2016-12-12,55.89
2016-12-13,2016-12-13,56.69
2016-12-14,2016-12-14,56.34
2016-12-15,2016-12-15,56.8
2016-12-16,2016-12-16,56.26
2016-12-19,2016-12-19,56.69
2016-12-20,2016-12-20,56.42
2016-12-21,2016-12-21,56.28
2016-12-22,2016-12-22,56.45
2016-12-23,2016-12-23,56.49
2016-12-27,2016-12-27,56.62
2016-12-28,2016-12-28,56.15
2016-12-29,2016-12-29,56.18
2016-12-30,2016-12-30,56.03
2017-01-03,2017-01-03,56.52
2017-01-04,2017-01-04,57.32
2017-01-05,2017-01-05,57.09
2017-01-06,2017-01-06,57.87
2017-01-09,2017-01-09,56.58
2017-01-10,2017-01-10,56.66
2017-01-11,2017-01-11,57.01
2017-01-12,2017-01-12,56.99
2017-01-13,2017-01-13,56.52
2017-01-17,2017-01-17,56.58
2017-01-18,2017-01-18,57.36
2017-01-19,2017-01-19,56.65
2017-01-20,2017-01-20,56.85
2017-01-23,2017-01-23,56.17
2017-01-24,2017-01-24,56.61
2017-01-25,2017-01-25,57.55
2017-01-26,2017-01-26,56.27
2017-01-27,2017-01-27,56.13
2017-01-30,2017-01-30,53.66
2017-01-31,2017-01-31,52.59
2017-02-01,2017-02-01,52.45
2017-02-02,2017-02-02,51.68
2017-02-03,2017-02-03,52.5
2017-02-06,2017-02-06,52.76
2017-02-07,2017-02-07,53.79
2017-02-08,2017-02-08,56.45
2017-02-09,2017-02-09,58.0
2017-02-10,2017-02-10,57.4
2017-02-13,2017-02-13,57.64
2017-02-14,2017-02-14,57.36
2017-02-15,2017-02-15,58.13
2017-02-16,2017-02-16,58.1
2017-02-17,2017-02-17,57.96
2017-02-21,2017-02-21,58.62
2017-02-22,2017-02-22,58.75
2017-02-23,2017-02-23,59.15
2017-02-24,2017-02-24,59.5
2017-02-27,2017-02-27,59.58
2017-02-28,2017-02-28,59.27
2017-03-01,2017-03-01,60.25
2017-03-02,2017-03-02,60.17
2017-03-03,2017-03-03,59.88
2017-03-06,2017-03-06,58.83
2017-03-07,2017-03-07,57.84
2017-03-08,2017-03-08,57.49
2017-03-09,2017-03-09,57.67
2017-03-10,2017-03-10,58.74
2017-03-13,2017-03-13,59.25
2017-03-14,2017-03-14,59.16
2017-03-15,2017-03-15,59.26
2017-03-16,2017-03-16,59.41
2017-03-17,2017-03-17,58.56
2017-03-20,2017-03-20,58.98
2017-03-21,2017-03-21,58.53
2017-03-22,2017-03-22,59.46
2017-03-23,2017-03-23,58.76
2017-03-24,2017-03-24,58.62
2017-03-27,2017-03-27,58.71
2017-03-28,2017-03-28,59.04
