DATE,DATE,CLOSE
2016-11-01,2016-11-01,56.0
2016-11-02,2016-11-02,56.14
2016-11-03,2016-11-03,55.94
2016-11-04,2016-11-04,57.23
2016-11-07,2016-11-07,58.53
2016-11-08,2016-11-08,59.31
2016-11-09,2016-11-09,60.13
2016-11-10,2016-11-10,59.94
2016-11-11,2016-11-11,60.25
2016-11-14,2016-11-14,62.94
2016-11-15,2016-11-15,66.06
2016-11-16,2016-11-16,65.5
2016-11-17,2016-11-17,67.86
2016-11-18,2016-11-18,68.29
2016-11-21,2016-11-21,68.99
2016-11-22,2016-11-22,69.5
2016-11-23,2016-11-23,69.88
2016-11-25,2016-11-25,70.09
2016-11-28,2016-11-28,69.25
2016-11-29,2016-11-29,69.72
2016-11-30,2016-11-30,68.95
2016-12-01,2016-12-01,68.47
2016-12-02,2016-12-02,69.27
2016-12-05,2016-12-05,68.26
2016-12-06,2016-12-06,70.97
2016-12-07,2016-12-07,72.43
2016-12-08,2016-12-08,72.74
2016-12-09,2016-12-09,75.17
2016-12-12,2016-12-12,73.24
2016-12-13,2016-12-13,72.55
2016-12-14,2016-12-14,72.94
2016-12-15,2016-12-15,74.79
2016-12-16,2016-12-16,74.42
2016-12-19,2016-12-19,74.48
2016-12-20,2016-12-20,76.05
2016-12-21,2016-12-21,75.72
2016-12-22,2016-12-22,74.19
2016-12-23,2016-12-23,74.79
2016-12-27,2016-12-27,74.67
2016-12-28,2016-12-28,73.53
2016-12-29,2016-12-29,73.28
2016-12-30,2016-12-30,72.88
2017-01-03,2017-01-03,72.71
2017-01-04,2017-01-04,73.02
2017-01-05,2017-01-05,70.93
2017-01-06,2017-01-06,71.37
2017-01-09,2017-01-09,71.28
2017-01-10,2017-01-10,73.66
2017-01-11,2017-01-11,75.04
2017-01-12,2017-01-12,74.0
2017-01-13,2017-01-13,74.32
2017-01-17,2017-01-17,73.74
2017-01-18,2017-01-18,74.0
2017-01-19,2017-01-19,74.02
2017-01-20,2017-01-20,75.24
2017-01-23,2017-01-23,72.75
2017-01-24,2017-01-24,73.18
2017-01-25,2017-01-25,73.59
2017-01-26,2017-01-26,75.38
2017-01-27,2017-01-27,74.42
2017-01-30,2017-01-30,71.72
2017-01-31,2017-01-31,70.47
2017-02-01,2017-02-01,71.48
2017-02-02,2017-02-02,72.14
2017-02-03,2017-02-03,73.06
2017-02-06,2017-02-06,73.5
2017-02-07,2017-02-07,71.29
2017-02-08,2017-02-08,71.7
2017-02-09,2017-02-09,72.98
2017-02-10,2017-02-10,72.6
2017-02-13,2017-02-13,73.84
2017-02-14,2017-02-14,73.74
2017-02-15,2017-02-15,75.75
2017-02-16,2017-02-16,75.67
2017-02-17,2017-02-17,75.96
2017-02-21,2017-02-21,75.41
2017-02-22,2017-02-22,75.43
2017-02-23,2017-02-23,74.56
2017-02-24,2017-02-24,75.08
2017-02-27,2017-02-27,75.28
2017-02-28,2017-02-28,74.09
2017-03-01,2017-03-01,75.39
2017-03-02,2017-03-02,73.28
2017-03-03,2017-03-03,75.59
2017-03-06,2017-03-06,73.14
2017-03-07,2017-03-07,72.64
2017-03-08,2017-03-08,73.44
2017-03-09,2017-03-09,72.54
2017-03-10,2017-03-10,72.34
2017-03-13,2017-03-13,69.85
2017-03-14,2017-03-14,66.55
2017-03-15,2017-03-15,68.17
2017-03-16,2017-03-16,67.56
2017-03-17,2017-03-17,66.79
2017-03-20,2017-03-20,67.49
2017-03-21,2017-03-21,65.28
2017-03-22,2017-03-22,66.95
2017-03-23,2017-03-23,67.5
2017-03-24,2017-03-24,67.93
2017-03-27,2017-03-27,68.37
2017-03-28,2017-03-28,70.74
2017-03-29,2017-03-29,69.85
2017-03-30,2017-03-30,70.78
2017-03-31,2017-03-31,70.64
2017-04-03,2017-04-03,71.35
2017-04-04,2017-04-04,69.76
2017-04-05,2017-04-05,70.06
2017-04-06,2017-04-06,70.22
2017-04-07,2017-04-07,70.88
2017-04-10,2017-04-10,71.52
2017-04-11,2017-04-11,70.71
2017-04-12,2017-04-12,69.93
