DATE,DATE,CLOSE
2016-11-01,2016-11-01,53.41
2016-11-02,2016-11-02,52.9
2016-11-03,2016-11-03,52.73
2016-11-04,2016-11-04,52.61
2016-11-07,2016-11-07,53.85
2016-11-08,2016-11-08,55.61
2016-11-09,2016-11-09,54.96
2016-11-10,2016-11-10,53.31
2016-11-11,2016-11-11,53.5
2016-11-14,2016-11-14,54.48
2016-11-15,2016-11-15,54.94
2016-11-16,2016-11-16,54.45
2016-11-17,2016-11-17,54.22
2016-11-18,2016-11-18,54.23
2016-11-21,2016-11-21,55.04
2016-11-22,2016-11-22,57.02
2016-11-23,2016-11-23,56.82
2016-11-25,2016-11-25,57.52
2016-11-28,2016-11-28,57.37
2016-11-29,2016-11-29,57.65
2016-11-30,2016-11-30,56.89
2016-12-01,2016-12-01,57.15
2016-12-02,2016-12-02,57.63
2016-12-05,2016-12-05,57.54
2016-12-06,2016-12-06,57.63
2016-12-07,2016-12-07,58.67
2016-12-08,2016-12-08,58.28
2016-12-09,2016-12-09,59.11
2016-12-12,2016-12-12,59.36
2016-12-13,2016-12-13,59.99
2016-12-14,2016-12-14,59.1
2016-12-15,2016-12-15,59.46
2016-12-16,2016-12-16,59.53
2016-12-19,2016-12-19,59.82
2016-12-20,2016-12-20,60.13
2016-12-21,2016-12-21,60.21
2016-12-22,2016-12-22,60.21
2016-12-23,2016-12-23,60.28
2016-12-27,2016-12-27,60.49
2016-12-28,2016-12-28,60.53
2016-12-29,2016-12-29,60.95
2016-12-30,2016-12-30,60.47
2017-01-03,2017-01-03,60.64
2017-01-04,2017-01-04,61.06
2017-01-05,2017-01-05,60.93
2017-01-06,2017-01-06,60.7
2017-01-09,2017-01-09,59.75
2017-01-10,2017-01-10,60.01
2017-01-11,2017-01-11,60.15
2017-01-12,2017-01-12,61.57
2017-01-13,2017-01-13,61.72
2017-01-17,2017-01-17,62.09
2017-01-18,2017-01-18,62.29
2017-01-19,2017-01-19,62.24
2017-01-20,2017-01-20,62.84
2017-01-23,2017-01-23,63.12
2017-01-24,2017-01-24,63.3
2017-01-25,2017-01-25,63.1
2017-01-26,2017-01-26,62.62
2017-01-27,2017-01-27,62.58
2017-01-30,2017-01-30,62.38
2017-01-31,2017-01-31,62.23
2017-02-01,2017-02-01,62.49
2017-02-02,2017-02-02,63.16
2017-02-03,2017-02-03,63.28
2017-02-06,2017-02-06,62.6
2017-02-07,2017-02-07,63.23
2017-02-08,2017-02-08,63.4
2017-02-09,2017-02-09,63.84
2017-02-10,2017-02-10,63.27
2017-02-13,2017-02-13,63.43
2017-02-14,2017-02-14,63.03
2017-02-15,2017-02-15,63.45
2017-02-16,2017-02-16,62.55
2017-02-17,2017-02-17,58.48
2017-02-21,2017-02-21,58.95
2017-02-22,2017-02-22,59.17
2017-02-23,2017-02-23,59.06
2017-02-24,2017-02-24,59.11
2017-02-27,2017-02-27,58.97
2017-02-28,2017-02-28,59.35
2017-03-01,2017-03-01,59.49
2017-03-02,2017-03-02,59.83
2017-03-03,2017-03-03,59.54
2017-03-06,2017-03-06,59.29
2017-03-07,2017-03-07,59.09
2017-03-08,2017-03-08,58.66
2017-03-09,2017-03-09,59.03
2017-03-10,2017-03-10,59.19
2017-03-13,2017-03-13,59.05
2017-03-14,2017-03-14,58.95
2017-03-15,2017-03-15,59.36
2017-03-16,2017-03-16,58.83
2017-03-17,2017-03-17,59.2
2017-03-20,2017-03-20,59.0
2017-03-21,2017-03-21,57.09
2017-03-22,2017-03-22,56.91
2017-03-23,2017-03-23,57.6
2017-03-24,2017-03-24,57.44
2017-03-27,2017-03-27,57.49
2017-03-28,2017-03-28,57.62
2017-03-29,2017-03-29,57.57
2017-03-30,2017-03-30,57.11
2017-03-31,2017-03-31,57.24
2017-04-03,2017-04-03,56.89
2017-04-04,2017-04-04,56.78
2017-04-05,2017-04-05,56.77
2017-04-06,2017-04-06,56.59
2017-04-07,2017-04-07,56.41
2017-04-10,2017-04-10,56.5
2017-04-11,2017-04-11,56.64
2017-04-12,2017-04-12,57.03
2017-04-13,2017-04-13,56.14
2017-04-17,2017-04-17,56.59
2017-04-18,2017-04-18,57.19
2017-04-19,2017-04-19,57.28
2017-04-20,2017-04-20,57.5
2017-04-21,2017-04-21,57.35
2017-04-24,2017-04-24,57.98
2017-04-25,2017-04-25,57.59
2017-04-26,2017-04-26,57.4
2017-04-27,2017-04-27,57.11
2017-04-28,2017-04-28,57.54
2017-05-01,2017-05-01,56.86
2017-05-02,2017-05-02,56.91
2017-05-03,2017-05-03,56.81
2017-05-04,2017-05-04,57.24
