DATE,DATE,CLOSE
2016-11-01,2016-11-01,783.61
2016-11-02,2016-11-02,768.7
2016-11-03,2016-11-03,762.13
2016-11-04,2016-11-04,762.02
2016-11-07,2016-11-07,782.52
2016-11-08,2016-11-08,790.51
2016-11-09,2016-11-09,785.31
2016-11-10,2016-11-10,762.56
2016-11-11,2016-11-11,754.02
2016-11-14,2016-11-14,736.08
2016-11-15,2016-11-15,758.49
2016-11-16,2016-11-16,764.48
2016-11-17,2016-11-17,771.23
2016-11-18,2016-11-18,760.54
2016-11-21,2016-11-21,769.2
2016-11-22,2016-11-22,768.27
2016-11-23,2016-11-23,760.99
2016-11-25,2016-11-25,761.68
2016-11-28,2016-11-28,768.24
2016-11-29,2016-11-29,770.84
2016-11-30,2016-11-30,758.04
2016-12-01,2016-12-01,747.92
2016-12-02,2016-12-02,750.5
2016-12-05,2016-12-05,762.52
2016-12-06,2016-12-06,759.11
2016-12-07,2016-12-07,771.19
2016-12-08,2016-12-08,776.42
2016-12-09,2016-12-09,789.29
2016-12-12,2016-12-12,789.27
2016-12-13,2016-12-13,796.1
2016-12-14,2016-12-14,797.07
2016-12-15,2016-12-15,797.85
2016-12-16,2016-12-16,790.8
2016-12-19,2016-12-19,794.2
2016-12-20,2016-12-20,796.42
2016-12-21,2016-12-21,794.56
2016-12-22,2016-12-22,791.26
2016-12-23,2016-12-23,789.91
2016-12-27,2016-12-27,791.55
2016-12-28,2016-12-28,785.05
2016-12-29,2016-12-29,782.79
2016-12-30,2016-12-30,771.82
2017-01-03,2017-01-03,786.14
2017-01-04,2017-01-04,786.9
2017-01-05,2017-01-05,794.02
2017-01-06,2017-01-06,806.15
2017-01-09,2017-01-09,806.65
2017-01-10,2017-01-10,804.79
2017-01-11,2017-01-11,807.91
2017-01-12,2017-01-12,806.36
2017-01-13,2017-01-13,807.88
2017-01-17,2017-01-17,804.61
2017-01-18,2017-01-18,806.07
2017-01-19,2017-01-19,802.175
2017-01-20,2017-01-20,805.02
2017-01-23,2017-01-23,819.31
2017-01-24,2017-01-24,823.87
2017-01-25,2017-01-25,835.67
2017-01-26,2017-01-26,832.15
2017-01-27,2017-01-27,823.31
2017-01-30,2017-01-30,802.32
2017-01-31,2017-01-31,796.79
2017-02-01,2017-02-01,795.695
2017-02-02,2017-02-02,798.53
2017-02-03,2017-02-03,801.49
2017-02-06,2017-02-06,801.34
2017-02-07,2017-02-07,806.97
2017-02-08,2017-02-08,808.38
2017-02-09,2017-02-09,809.56
2017-02-10,2017-02-10,813.67
2017-02-13,2017-02-13,819.24
2017-02-14,2017-02-14,820.45
2017-02-15,2017-02-15,818.98
2017-02-16,2017-02-16,824.16
2017-02-17,2017-02-17,828.07
2017-02-21,2017-02-21,831.66
2017-02-22,2017-02-22,830.76
2017-02-23,2017-02-23,831.33
2017-02-24,2017-02-24,828.64
2017-02-27,2017-02-27,829.28
2017-02-28,2017-02-28,823.21
2017-03-01,2017-03-01,835.24
2017-03-02,2017-03-02,830.63
2017-03-03,2017-03-03,829.08
2017-03-06,2017-03-06,827.78
2017-03-07,2017-03-07,831.91
2017-03-08,2017-03-08,835.37
2017-03-09,2017-03-09,838.68
2017-03-10,2017-03-10,843.25
2017-03-13,2017-03-13,845.54
2017-03-14,2017-03-14,845.62
2017-03-15,2017-03-15,847.2
2017-03-16,2017-03-16,848.78
2017-03-17,2017-03-17,852.12
2017-03-20,2017-03-20,848.4
2017-03-21,2017-03-21,830.46
2017-03-22,2017-03-22,829.59
2017-03-23,2017-03-23,817.58
2017-03-24,2017-03-24,814.43
2017-03-27,2017-03-27,819.51
2017-03-28,2017-03-28,820.92
2017-03-29,2017-03-29,831.41
2017-03-30,2017-03-30,831.5
2017-03-31,2017-03-31,829.56
