DATE,DATE,CLOSE
2016-11-01,2016-11-01,54.27
2016-11-02,2016-11-02,54.34
2016-11-03,2016-11-03,53.83
2016-11-04,2016-11-04,53.65
2016-11-07,2016-11-07,54.47
2016-11-08,2016-11-08,54.19
2016-11-09,2016-11-09,55.18
2016-11-10,2016-11-10,56.0
2016-11-11,2016-11-11,56.68
2016-11-14,2016-11-14,56.3
2016-11-15,2016-11-15,55.68
2016-11-16,2016-11-16,55.76
2016-11-17,2016-11-17,55.92
2016-11-18,2016-11-18,55.93
2016-11-21,2016-11-21,57.14
2016-11-22,2016-11-22,57.5
2016-11-23,2016-11-23,58.05
2016-11-25,2016-11-25,57.98
2016-11-28,2016-11-28,57.99
2016-11-29,2016-11-29,59.46
2016-11-30,2016-11-30,58.95
2016-12-01,2016-12-01,58.68
2016-12-02,2016-12-02,58.34
2016-12-05,2016-12-05,58.83
2016-12-06,2016-12-06,58.67
2016-12-07,2016-12-07,60.24
2016-12-08,2016-12-08,60.27
2016-12-09,2016-12-09,60.16
2016-12-12,2016-12-12,60.19
2016-12-13,2016-12-13,60.25
2016-12-14,2016-12-14,60.48
2016-12-15,2016-12-15,60.74
2016-12-16,2016-12-16,61.24
2016-12-19,2016-12-19,61.55
2016-12-20,2016-12-20,61.93
2016-12-21,2016-12-21,61.39
2016-12-22,2016-12-22,61.5
2016-12-23,2016-12-23,61.73
2016-12-27,2016-12-27,61.65
2016-12-28,2016-12-28,61.34
2016-12-29,2016-12-29,61.4
2016-12-30,2016-12-30,60.88
2017-01-03,2017-01-03,61.06
2017-01-04,2017-01-04,61.29
2017-01-05,2017-01-05,60.85
2017-01-06,2017-01-06,61.27
2017-01-09,2017-01-09,61.02
2017-01-10,2017-01-10,60.81
2017-01-11,2017-01-11,61.15
2017-01-12,2017-01-12,61.34
2017-01-13,2017-01-13,61.47
2017-01-17,2017-01-17,60.85
2017-01-18,2017-01-18,61.04
2017-01-19,2017-01-19,60.9
2017-01-20,2017-01-20,61.47
2017-01-23,2017-01-23,61.11
2017-01-24,2017-01-24,61.87
2017-01-25,2017-01-25,61.62
2017-01-26,2017-01-26,61.45
2017-01-27,2017-01-27,61.17
2017-01-30,2017-01-30,60.81
2017-01-31,2017-01-31,60.29
2017-02-01,2017-02-01,58.52
