DATE,DATE,CLOSE
2016-11-01,2016-11-01,106.71
2016-11-02,2016-11-02,106.71
2016-11-03,2016-11-03,106.63
2016-11-04,2016-11-04,105.81
2016-11-07,2016-11-07,106.96
2016-11-08,2016-11-08,108.72
2016-11-09,2016-11-09,107.25
2016-11-10,2016-11-10,103.25
2016-11-11,2016-11-11,103.19
2016-11-14,2016-11-14,101.39
2016-11-15,2016-11-15,101.85
2016-11-16,2016-11-16,101.71
2016-11-17,2016-11-17,101.62
2016-11-18,2016-11-18,101.31
2016-11-21,2016-11-21,102.26
2016-11-22,2016-11-22,102.89
2016-11-23,2016-11-23,101.53
2016-11-25,2016-11-25,102.17
2016-11-28,2016-11-28,102.79
2016-11-29,2016-11-29,102.54
2016-11-30,2016-11-30,100.1
2016-12-01,2016-12-01,99.03
2016-12-02,2016-12-02,100.6
2016-12-05,2016-12-05,100.71
2016-12-06,2016-12-06,101.55
2016-12-07,2016-12-07,102.81
2016-12-08,2016-12-08,102.15
2016-12-09,2016-12-09,103.57
2016-12-12,2016-12-12,104.72
2016-12-13,2016-12-13,105.63
2016-12-14,2016-12-14,104.47
2016-12-15,2016-12-15,105.3
2016-12-16,2016-12-16,105.87
2016-12-19,2016-12-19,105.41
2016-12-20,2016-12-20,104.9
2016-12-21,2016-12-21,104.7
2016-12-22,2016-12-22,105.35
2016-12-23,2016-12-23,105.09
2016-12-27,2016-12-27,105.13
2016-12-28,2016-12-28,104.62
2016-12-29,2016-12-29,104.99
2016-12-30,2016-12-30,104.63
2017-01-03,2017-01-03,104.65
2017-01-04,2017-01-04,104.85
2017-01-05,2017-01-05,104.71
2017-01-06,2017-01-06,104.56
2017-01-09,2017-01-09,103.46
2017-01-10,2017-01-10,101.97
2017-01-11,2017-01-11,101.81
2017-01-12,2017-01-12,101.84
2017-01-13,2017-01-13,101.55
2017-01-17,2017-01-17,102.19
2017-01-18,2017-01-18,102.74
2017-01-19,2017-01-19,102.36
2017-01-20,2017-01-20,103.24
2017-01-23,2017-01-23,104.01
2017-01-24,2017-01-24,104.71
2017-01-25,2017-01-25,104.61
2017-01-26,2017-01-26,104.14
2017-01-27,2017-01-27,103.48
2017-01-30,2017-01-30,103.69
2017-01-31,2017-01-31,103.78
2017-02-01,2017-02-01,103.01
2017-02-02,2017-02-02,104.03
2017-02-03,2017-02-03,105.11
2017-02-06,2017-02-06,104.57
2017-02-07,2017-02-07,105.61
2017-02-08,2017-02-08,105.69
2017-02-09,2017-02-09,105.97
2017-02-10,2017-02-10,106.1
2017-02-13,2017-02-13,106.52
2017-02-14,2017-02-14,106.92
